game_id,n_village_aligned_votes,village_vote_counts,village_top_targets,village_top_target_names,village_top_share,village_vote_entropy,village_modal_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game3,4,"{""Mike"": 1, ""James"": 1, ""Mitchell"": 1, ""Justin"": 1}","[0, 1, 2, 3]","[""Justin"", ""Mike"", ""James"", ""Mitchell""]",0.25,1.3862943611198906,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game4,2,"{""Mitchell"": 2}",[3],"[""Mitchell""]",1.0,-0.0,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game5,3,"{""Mitchell"": 2, ""Justin"": 1}",[3],"[""Mitchell""]",0.6666666666666666,0.6365141682948128,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,2,"{""Mike"": 1, ""Justin"": 1}","[0, 1]","[""Justin"", ""Mike""]",0.5,0.6931471805599453,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game7,2,"{""Mitchell"": 2}",[3],"[""Mitchell""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,3,"{""Mike"": 1, ""James"": 1, ""Mitchell"": 1}","[1, 2, 3]","[""Mike"", ""James"", ""Mitchell""]",0.3333333333333333,1.0986122886681096,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,3,"{""Mitchell"": 3}",[4],"[""Mitchell""]",1.0,-0.0,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,3,"{""Justin"": 3}",[0],"[""Justin""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,3,"{""Mitchell"": 3}",[4],"[""Mitchell""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game4,3,"{""Justin"": 2, ""Mitchell"": 1}",[0],"[""Justin""]",0.6666666666666666,0.6365141682948128,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game5,3,"{""James"": 3}",[3],"[""James""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game6,4,"{""Mitchell"": 4}",[4],"[""Mitchell""]",1.0,-0.0,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,4,"{""Caitlynn"": 4}",[1],"[""Caitlynn""]",1.0,-0.0,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,2,"{""Justin"": 2}",[0],"[""Justin""]",1.0,-0.0,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,3,"{""Mitchell"": 2, ""Justin"": 1}",[2],"[""Mitchell""]",0.6666666666666666,0.6365141682948128,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,2,"{""Mitchell"": 1, ""Justin"": 1}","[0, 2]","[""Justin"", ""Mitchell""]",0.5,0.6931471805599453,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,2,"{""Paul"": 2}",[1],"[""Paul""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,3,"{""Paul"": 1, ""Mitchell"": 1, ""Justin"": 1}","[0, 1, 2]","[""Justin"", ""Paul"", ""Mitchell""]",0.3333333333333333,1.0986122886681096,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game5,1,"{""Justin"": 1}",[0],"[""Justin""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,1,"{""Paul"": 1}",[1],"[""Paul""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game7,2,"{""Paul"": 1, ""Justin"": 1}","[0, 1]","[""Justin"", ""Paul""]",0.5,0.6931471805599453,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,3,"{""Jordan2"": 1, ""Haak"": 2}",[2],"[""Haak""]",0.6666666666666666,0.6365141682948128,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,3,"{""Jordan1"": 1, ""Meryl"": 1, ""Haak"": 1}","[1, 2, 5]","[""Jordan1"", ""Haak"", ""Meryl""]",0.3333333333333333,1.0986122886681096,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,3,"{""Mike"": 3}",[5],"[""Mike""]",1.0,-0.0,False
Youtube / One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough / Game1,4,"{""Audrey"": 1, ""Katie"": 2, ""Brett"": 1}",[2],"[""Katie""]",0.5,1.0397207708399179,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,4,"{""Mitchell"": 3, ""Mike"": 1}",[1],"[""Mitchell""]",0.75,0.5623351446188083,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,1,"{""Julie"": 1}",[1],"[""Julie""]",1.0,-0.0,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,2,"{""Julie"": 1, ""Justin"": 1}","[0, 1]","[""Justin"", ""Julie""]",0.5,0.6931471805599453,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,2,"{""Julie"": 1, ""Justin"": 1}","[0, 1]","[""Justin"", ""Julie""]",0.5,0.6931471805599453,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,1,"{""Justin"": 1}",[0],"[""Justin""]",1.0,-0.0,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game2,1,"{""Caitlynn"": 1}",[2],"[""Caitlynn""]",1.0,-0.0,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017 / Game1,1,"{""Mitchell"": 1}",[3],"[""Mitchell""]",1.0,-0.0,True
Youtube / One#Night#Ultimate#Werewolf#2#The#Drunk / Game1,4,"{""Dan"": 4}",[0],"[""Dan""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,2,"{""Paul"": 2}",[2],"[""Paul""]",1.0,-0.0,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game3,2,"{""Meghan"": 2}",[1],"[""Meghan""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game1,3,"{""Mitchell"": 1, ""Alysha"": 2}",[3],"[""Alysha""]",0.6666666666666666,0.6365141682948128,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,3,"{""Mitchell"": 1, ""Mike"": 1, ""Paul"": 1}","[2, 4, 5]","[""Paul"", ""Mitchell"", ""Mike""]",0.3333333333333333,1.0986122886681096,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,3,"{""Mike"": 2, ""Paul"": 1}",[5],"[""Mike""]",0.6666666666666666,0.6365141682948128,False
Youtube / One#Night#Ultimate#Werewolf#3#Insomniac / Game1,5,"{""Brett"": 4, ""Dan"": 1}",[3],"[""Brett""]",0.8,0.5004024235381879,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game2,3,"{""Mitchell"": 1, ""Mike"": 1, ""Justin"": 1}","[0, 4, 5]","[""Justin"", ""Mitchell"", ""Mike""]",0.3333333333333333,1.0986122886681096,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,3,"{""Alysha"": 2, ""Caitlynn"": 1}",[3],"[""Alysha""]",0.6666666666666666,0.6365141682948128,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game2,3,"{""Mitchell"": 2, ""Carly"": 1}",[3],"[""Mitchell""]",0.6666666666666666,0.6365141682948128,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game3,1,"{""Carly"": 1}",[1],"[""Carly""]",1.0,-0.0,False
Youtube / One#Night#Ultimate#Werewolf#361#Classic#Werewolf / Game1,3,"{""Kelsey"": 1, ""Dylan"": 1, ""Brett"": 1}","[2, 4, 5]","[""Brett"", ""Kelsey"", ""Dylan""]",0.3333333333333333,1.0986122886681096,True
Youtube / One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf / Game1,2,"{""Kelsey"": 1, ""Pete"": 1}","[0, 4]","[""Pete"", ""Kelsey""]",0.5,0.6931471805599453,True
Youtube / One#Night#Ultimate#Werewolf#363#Even#More#Classic#Werewolf / Game1,4,"{""Katie"": 3, ""Brett"": 1}",[1],"[""Katie""]",0.75,0.5623351446188083,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018 / Game2,1,"{""Mitchell"": 1}",[2],"[""Mitchell""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,2,"{""James"": 1, ""Justin"": 1}","[0, 3]","[""Justin"", ""James""]",0.5,0.6931471805599453,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game4,2,"{""Mitchell"": 2}",[2],"[""Mitchell""]",1.0,-0.0,False
Youtube / One#Night#Ultimate#Werewolf#381#The#Hunt#Is#On / Game1,5,"{""Kelsey"": 2, ""Dustin"": 1, ""Katie"": 1, ""Brett"": 1}",[4],"[""Kelsey""]",0.4,1.3321790402101223,False
Youtube / One#Night#Ultimate#Werewolf#382#Game#100!! / Game1,4,"{""Dustin"": 1, ""Dylan"": 1, ""Ed"": 1, ""Katie"": 1}","[0, 1, 2, 5]","[""Ed"", ""Dustin"", ""Katie"", ""Dylan""]",0.25,1.3862943611198906,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,2,"{""Justin"": 2}",[0],"[""Justin""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,2,"{""Mitchell"": 2}",[2],"[""Mitchell""]",1.0,-0.0,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,2,"{""Mitchell"": 2}",[2],"[""Mitchell""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,3,"{""Paul"": 3}",[1],"[""Paul""]",1.0,-0.0,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,2,"{""Mitchell"": 2}",[1],"[""Mitchell""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game3,2,"{""Paul"": 1, ""Mike"": 1}","[2, 3]","[""Paul"", ""Mike""]",0.5,0.6931471805599453,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game4,2,"{""Paul"": 2}",[2],"[""Paul""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game1,2,"{""Justin"": 2}",[0],"[""Justin""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,2,"{""Mitchell"": 1, ""Justin"": 1}","[0, 1]","[""Justin"", ""Mitchell""]",0.5,0.6931471805599453,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,3,"{""Mitchell"": 1, ""Paul"": 1, ""Justin"": 1}","[0, 1, 2]","[""Justin"", ""Mitchell"", ""Paul""]",0.3333333333333333,1.0986122886681096,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game4,3,"{""Mitchell"": 1, ""Paul"": 1, ""Mike"": 1}","[1, 2, 3]","[""Mitchell"", ""Paul"", ""Mike""]",0.3333333333333333,1.0986122886681096,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,3,"{""Mitchell"": 2, ""Mike"": 1}",[1],"[""Mitchell""]",0.6666666666666666,0.6365141682948128,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game4,1,"{""Mike"": 1}",[3],"[""Mike""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,3,"{""Mike"": 2, ""Mitchell"": 1}",[3],"[""Mike""]",0.6666666666666666,0.6365141682948128,False
Youtube / One#Night#Ultimate#Werewolf#491#Classic#Werewolf / Game1,3,"{""Brett"": 1, ""Pete"": 2}",[0],"[""Pete""]",0.6666666666666666,0.6365141682948128,False
Youtube / One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf / Game1,3,"{""Pete"": 2, ""Katie"": 1}",[0],"[""Pete""]",0.6666666666666666,0.6365141682948128,False
Youtube / One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf / Game1,2,"{""Katie"": 2}",[1],"[""Katie""]",1.0,-0.0,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016 / Game1,3,"{""Mike"": 2, ""Mitchell"": 1}",[3],"[""Mike""]",0.6666666666666666,0.6365141682948128,False
Youtube / One#Night#Ultimate#Werewolf#531#Classic#ONUW / Game1,2,"{""Brett"": 2}",[2],"[""Brett""]",1.0,-0.0,False
Youtube / One#Night#Ultimate#Werewolf#532#More#Classic#ONUW / Game1,3,"{""DeAndre"": 2, ""Brett"": 1}",[3],"[""DeAndre""]",0.6666666666666666,0.6365141682948128,True
Youtube / One#Night#Ultimate#Werewolf#533#Even#More#Classic#ONUW / Game1,2,"{""DeAndre"": 2}",[3],"[""DeAndre""]",1.0,-0.0,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019 / Game3,2,"{""Justin"": 2}",[0],"[""Justin""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game1,2,"{""Mike"": 1, ""Caitlynn"": 1}","[0, 3]","[""Caitlynn"", ""Mike""]",0.5,0.6931471805599453,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,3,"{""Caitlynn"": 3}",[0],"[""Caitlynn""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,2,"{""Paul"": 1, ""Justin"": 1}","[0, 2]","[""Justin"", ""Paul""]",0.5,0.6931471805599453,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game2,2,"{""Paul"": 2}",[2],"[""Paul""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019 / Game1,1,"{""James"": 1}",[1],"[""James""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game3,2,"{""Paul"": 1, ""Mitchell"": 1}","[2, 3]","[""Paul"", ""Mitchell""]",0.5,0.6931471805599453,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game4,2,"{""Paul"": 2}",[2],"[""Paul""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game5,3,"{""Justin"": 3}",[0],"[""Justin""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game1,3,"{""Alana"": 3}",[2],"[""Alana""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game2,2,"{""Caitlynn"": 2}",[0],"[""Caitlynn""]",1.0,-0.0,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game3,1,"{""Mitchell"": 1}",[1],"[""Mitchell""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game4,1,"{""Caitlynn"": 1}",[0],"[""Caitlynn""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game1,3,"{""Caitlynn"": 1, ""Mike"": 1, ""Matt"": 1}","[0, 1, 4]","[""Matt"", ""Caitlynn"", ""Mike""]",0.3333333333333333,1.0986122886681096,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game4,3,"{""Mitchell"": 3}",[2],"[""Mitchell""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game2,2,"{""Caitlynn"": 1, ""Justin"": 1}","[0, 2]","[""Justin"", ""Caitlynn""]",0.5,0.6931471805599453,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game3,2,"{""Meghan"": 2}",[1],"[""Meghan""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game1,2,"{""Paul"": 2}",[2],"[""Paul""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game3,2,"{""Paul"": 1, ""Justin"": 1}","[0, 2]","[""Justin"", ""Paul""]",0.5,0.6931471805599453,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game4,2,"{""Mike"": 2}",[3],"[""Mike""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game1,2,"{""Justin"": 1, ""Mitchell"": 1}","[0, 1]","[""Justin"", ""Mitchell""]",0.5,0.6931471805599453,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game2,2,"{""Paul"": 2}",[2],"[""Paul""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game2,2,"{""Justin"": 2}",[0],"[""Justin""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game3,2,"{""James"": 1, ""Mitchell"": 1}","[1, 3]","[""Mitchell"", ""James""]",0.5,0.6931471805599453,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game1,2,"{""Caitlynn"": 2}",[0],"[""Caitlynn""]",1.0,-0.0,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game2,3,"{""Alana"": 3}",[2],"[""Alana""]",1.0,-0.0,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game3,2,"{""Caitlynn"": 1, ""Mike"": 1}","[0, 3]","[""Caitlynn"", ""Mike""]",0.5,0.6931471805599453,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game4,3,"{""Mitchell"": 1, ""Alana"": 2}",[2],"[""Alana""]",0.6666666666666666,0.6365141682948128,True
Youtube / One#Night#Ultimate#Werewolf#GAME#NIGHT!! / Game2,4,"{""Shane"": 4}",[1],"[""Shane""]",1.0,-0.0,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game1,3,"{""Paul"": 2, ""Eric"": 1}",[2],"[""Paul""]",0.6666666666666666,0.6365141682948128,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game2,4,"{""Mike"": 4}",[4],"[""Mike""]",1.0,-0.0,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game3,4,"{""Mitchell"": 3, ""Justin"": 1}",[3],"[""Mitchell""]",0.75,0.5623351446188083,False
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game4,2,"{""Mike"": 2}",[4],"[""Mike""]",1.0,-0.0,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game5,2,"{""Mitchell"": 1, ""Eric"": 1}","[1, 3]","[""Eric"", ""Mitchell""]",0.5,0.6931471805599453,False
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game5,2,"{""Mitchell"": 2}",[1],"[""Mitchell""]",1.0,-0.0,True
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game6,2,"{""Paul"": 2}",[2],"[""Paul""]",1.0,-0.0,True
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,2,"{""Paul"": 2}",[2],"[""Paul""]",1.0,-0.0,True
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game1,3,"{""James"": 3}",[3],"[""James""]",1.0,-0.0,False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game2,3,"{""Paul"": 1, ""Mitchell"": 1, ""Justin"": 1}","[0, 2, 4]","[""Justin"", ""Paul"", ""Mitchell""]",0.3333333333333333,1.0986122886681096,True
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game3,2,"{""Laura"": 1, ""Paul"": 1}","[1, 2]","[""Laura"", ""Paul""]",0.5,0.6931471805599453,True
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game4,3,"{""Paul"": 3}",[2],"[""Paul""]",1.0,-0.0,True
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game5,3,"{""Justin"": 3}",[0],"[""Justin""]",1.0,-0.0,False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game1,3,"{""Laura"": 2, ""Justin"": 1}",[1],"[""Laura""]",0.6666666666666666,0.6365141682948128,True
