game_id,source,split,session_name,game_key,speaker,speaker_idx,speaker_start_role,speaker_end_role,num_turns,n_raw_empty_annotation_utterances,n_raw_no_strategy_utterances,n_multi_label_utterances,n_strategy_utterances,n_no_strategy_or_empty_utterances,n_accusation,n_call_for_action,n_defense,n_evidence,n_identity_declaration,n_interrogation,n_no_strategy_empty,n_strategy_labels,strategy_utterance_rate,no_strategy_or_empty_utterance_rate,multi_label_utterance_rate,rate_accusation_per_turn,rate_call_for_action_per_turn,rate_defense_per_turn,rate_evidence_per_turn,rate_identity_declaration_per_turn,rate_interrogation_per_turn
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game4,Ashley,1.0,Werewolf,Werewolf,39,0,21,4,18,21,9,2,2,2,3,4,21,22,0.46153846153846156,0.5384615384615384,0.10256410256410256,0.23076923076923078,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.07692307692307693,0.10256410256410256
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game4,Automated,,,,3,0,3,0,0,3,0,0,0,0,0,0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game4,Chris,3.0,Seer,Seer,74,0,49,3,25,49,11,5,3,4,1,4,49,28,0.33783783783783783,0.6621621621621622,0.04054054054054054,0.14864864864864866,0.06756756756756757,0.04054054054054054,0.05405405405405406,0.013513513513513514,0.05405405405405406
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game4,Elliot,0.0,Robber,Tanner,29,0,16,1,13,16,1,1,4,1,2,5,16,14,0.4482758620689655,0.5517241379310345,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.13793103448275862,0.034482758620689655,0.06896551724137931,0.1724137931034483
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game4,James,2.0,Insomniac,Insomniac,49,0,27,6,22,27,11,11,1,2,2,2,27,29,0.4489795918367347,0.5510204081632653,0.12244897959183673,0.22448979591836735,0.22448979591836735,0.02040816326530612,0.04081632653061224,0.04081632653061224,0.04081632653061224
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game4,Sian,5.0,Tanner,Robber,28,0,17,0,11,17,3,1,2,0,0,5,17,11,0.39285714285714285,0.6071428571428571,0.0,0.10714285714285714,0.03571428571428571,0.07142857142857142,0.0,0.0,0.17857142857142858
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game4,Sukeshi,4.0,Werewolf,Werewolf,56,0,34,2,22,34,8,1,4,4,1,6,34,24,0.39285714285714285,0.6071428571428571,0.03571428571428571,0.14285714285714285,0.017857142857142856,0.07142857142857142,0.07142857142857142,0.017857142857142856,0.10714285714285714
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game5,Ashley,1.0,Werewolf,Werewolf,11,0,8,0,3,8,1,0,0,0,1,1,8,3,0.2727272727272727,0.7272727272727273,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game5,Chris,3.0,Werewolf,Werewolf,41,0,29,0,12,29,0,3,2,1,0,6,29,12,0.2926829268292683,0.7073170731707317,0.0,0.0,0.07317073170731707,0.04878048780487805,0.024390243902439025,0.0,0.14634146341463414
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game5,Elliot,0.0,Seer,Seer,13,0,5,2,8,5,2,1,1,0,3,3,5,10,0.6153846153846154,0.38461538461538464,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.23076923076923078,0.23076923076923078
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game5,James,2.0,Doppelganger,Doppelganger,33,0,14,3,19,14,6,1,6,3,4,2,14,22,0.5757575757575758,0.42424242424242425,0.09090909090909091,0.18181818181818182,0.030303030303030304,0.18181818181818182,0.09090909090909091,0.12121212121212122,0.06060606060606061
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game5,Sian,5.0,Villager,Villager,27,0,21,1,6,21,3,1,1,2,0,0,21,7,0.2222222222222222,0.7777777777777778,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.0,0.0
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game5,Sukeshi,4.0,Insomniac,Insomniac,37,0,24,1,13,24,3,0,3,1,1,6,24,14,0.35135135135135137,0.6486486486486487,0.02702702702702703,0.08108108108108109,0.0,0.08108108108108109,0.02702702702702703,0.02702702702702703,0.16216216216216217
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Ashley,1.0,Seer,Robber,26,0,11,3,15,11,10,1,3,2,1,1,11,18,0.5769230769230769,0.4230769230769231,0.11538461538461539,0.38461538461538464,0.038461538461538464,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.038461538461538464
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Audio,,,,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Chris,3.0,Hunter,Seer,44,0,19,4,25,19,12,5,1,1,4,7,19,30,0.5681818181818182,0.4318181818181818,0.09090909090909091,0.2727272727272727,0.11363636363636363,0.022727272727272728,0.022727272727272728,0.09090909090909091,0.1590909090909091
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Elliot,0.0,Werewolf,Werewolf,25,0,8,7,17,8,6,1,6,2,3,6,8,24,0.68,0.32,0.28,0.24,0.04,0.24,0.08,0.12,0.24
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,James,2.0,Troublemaker,Troublemaker,36,0,12,2,24,12,9,3,0,3,1,10,12,26,0.6666666666666666,0.3333333333333333,0.05555555555555555,0.25,0.08333333333333333,0.0,0.08333333333333333,0.027777777777777776,0.2777777777777778
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Sian,5.0,Tanner,Tanner,25,0,11,3,14,11,7,1,5,0,2,2,11,17,0.56,0.44,0.12,0.28,0.04,0.2,0.0,0.08,0.08
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Sukeshi,4.0,Robber,Hunter,27,0,6,5,21,6,10,6,4,3,3,1,6,27,0.7777777777777778,0.2222222222222222,0.18518518518518517,0.37037037037037035,0.2222222222222222,0.14814814814814814,0.1111111111111111,0.1111111111111111,0.037037037037037035
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game7,Ashley,1.0,Minion,Doppelganger,23,0,20,0,3,20,0,0,3,0,0,0,20,3,0.13043478260869565,0.8695652173913043,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game7,Chris,3.0,Troublemaker,Troublemaker,51,0,32,1,19,32,1,5,0,3,2,9,32,20,0.37254901960784315,0.6274509803921569,0.0196078431372549,0.0196078431372549,0.09803921568627451,0.0,0.058823529411764705,0.0392156862745098,0.17647058823529413
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game7,Elliot,0.0,Robber,Tanner,17,0,9,0,8,9,2,1,1,0,0,4,9,8,0.47058823529411764,0.5294117647058824,0.0,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,0.0,0.23529411764705882
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game7,James,2.0,Doppelganger,Seer,32,0,14,3,18,14,5,2,3,2,3,6,14,21,0.5625,0.4375,0.09375,0.15625,0.0625,0.09375,0.0625,0.09375,0.1875
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game7,Sian,5.0,Seer,Minion,24,0,17,3,7,17,4,1,0,2,1,2,17,10,0.2916666666666667,0.7083333333333334,0.125,0.16666666666666666,0.041666666666666664,0.0,0.08333333333333333,0.041666666666666664,0.08333333333333333
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game7,Sukeshi,4.0,Tanner,Robber,37,0,22,5,15,22,4,1,1,6,3,5,22,20,0.40540540540540543,0.5945945945945946,0.13513513513513514,0.10810810810810811,0.02702702702702703,0.02702702702702703,0.16216216216216217,0.08108108108108109,0.13513513513513514
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,Ashley,1.0,Robber,Hunter,15,0,4,2,11,4,4,0,1,3,3,2,4,13,0.7333333333333333,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.0,0.06666666666666667,0.2,0.2,0.13333333333333333
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,Chris,3.0,Hunter,Doppelganger,40,0,21,6,19,21,4,5,5,6,4,2,21,26,0.475,0.525,0.15,0.1,0.125,0.125,0.15,0.1,0.05
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,Elliot,0.0,Werewolf,Werewolf,10,0,3,2,7,3,2,3,1,1,1,1,3,9,0.7,0.3,0.2,0.2,0.3,0.1,0.1,0.1,0.1
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,James,2.0,Doppelganger,Robber,29,0,10,6,19,10,7,1,6,8,2,2,10,26,0.6551724137931034,0.3448275862068966,0.20689655172413793,0.2413793103448276,0.034482758620689655,0.20689655172413793,0.27586206896551724,0.06896551724137931,0.06896551724137931
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,Sian,5.0,Tanner,Tanner,8,0,3,3,5,3,0,0,5,1,0,2,3,8,0.625,0.375,0.375,0.0,0.0,0.625,0.125,0.0,0.25
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,Sukeshi,4.0,Minion,Minion,36,0,20,5,16,20,3,2,4,4,2,6,20,21,0.4444444444444444,0.5555555555555556,0.1388888888888889,0.08333333333333333,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.16666666666666666
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,Ashley,1.0,Hunter,Hunter,30,0,19,5,11,19,4,3,4,3,0,3,19,17,0.36666666666666664,0.6333333333333333,0.16666666666666666,0.13333333333333333,0.1,0.13333333333333333,0.1,0.0,0.1
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,Chris,3.0,Werewolf,Werewolf,46,0,24,6,22,24,8,2,7,3,2,6,24,28,0.4782608695652174,0.5217391304347826,0.13043478260869565,0.17391304347826086,0.043478260869565216,0.15217391304347827,0.06521739130434782,0.043478260869565216,0.13043478260869565
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,Elliot,0.0,Villager,Villager,13,0,2,5,11,2,6,2,3,1,3,1,2,16,0.8461538461538461,0.15384615384615385,0.38461538461538464,0.46153846153846156,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.07692307692307693
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,James,2.0,Robber,Villager,33,0,17,4,16,17,4,3,4,7,1,2,17,21,0.48484848484848486,0.5151515151515151,0.12121212121212122,0.12121212121212122,0.09090909090909091,0.12121212121212122,0.21212121212121213,0.030303030303030304,0.06060606060606061
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,Sian,5.0,Seer,Seer,28,0,13,3,15,13,7,2,2,3,1,3,13,18,0.5357142857142857,0.4642857142857143,0.10714285714285714,0.25,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.10714285714285714
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Ego4D,train,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,Sukeshi,4.0,Villager,Robber,44,0,20,8,24,20,5,4,9,4,5,7,20,34,0.5454545454545454,0.45454545454545453,0.18181818181818182,0.11363636363636363,0.09090909090909091,0.20454545454545456,0.09090909090909091,0.11363636363636363,0.1590909090909091
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game10,Hunter,2.0,Troublemaker,Troublemaker,67,0,38,0,29,38,10,0,1,3,3,12,38,29,0.43283582089552236,0.5671641791044776,0.0,0.14925373134328357,0.0,0.014925373134328358,0.04477611940298507,0.04477611940298507,0.1791044776119403
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game10,Jacob,3.0,Werewolf,Werewolf,59,0,39,1,20,39,3,1,3,5,1,8,39,21,0.3389830508474576,0.6610169491525424,0.01694915254237288,0.05084745762711865,0.01694915254237288,0.05084745762711865,0.0847457627118644,0.01694915254237288,0.13559322033898305
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game10,Sean,1.0,Villager,Werewolf,49,0,24,2,25,24,6,0,2,1,6,12,24,27,0.5102040816326531,0.4897959183673469,0.04081632653061224,0.12244897959183673,0.0,0.04081632653061224,0.02040816326530612,0.12244897959183673,0.24489795918367346
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game10,Zack,0.0,Werewolf,Villager,22,0,17,1,5,17,0,0,0,3,2,1,17,6,0.22727272727272727,0.7727272727272727,0.045454545454545456,0.0,0.0,0.0,0.13636363636363635,0.09090909090909091,0.045454545454545456
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game11,Hunter,2.0,Troublemaker,Troublemaker,54,0,33,0,21,33,4,0,1,4,0,12,33,21,0.3888888888888889,0.6111111111111112,0.0,0.07407407407407407,0.0,0.018518518518518517,0.07407407407407407,0.0,0.2222222222222222
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game11,Jacob,3.0,Drunk,Villager,41,0,30,1,11,30,0,0,4,3,3,2,30,12,0.2682926829268293,0.7317073170731707,0.024390243902439025,0.0,0.0,0.0975609756097561,0.07317073170731707,0.07317073170731707,0.04878048780487805
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game11,Sean,1.0,Werewolf,Werewolf,28,0,19,0,9,19,2,0,1,2,1,3,19,9,0.32142857142857145,0.6785714285714286,0.0,0.07142857142857142,0.0,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.10714285714285714
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game11,Zack,0.0,Insomniac,Drunk,29,0,16,0,13,16,1,0,2,3,3,4,16,13,0.4482758620689655,0.5517241379310345,0.0,0.034482758620689655,0.0,0.06896551724137931,0.10344827586206896,0.10344827586206896,0.13793103448275862
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game6,Hunter,2.0,Villager,Villager,57,0,25,8,32,25,5,1,14,9,2,9,25,40,0.5614035087719298,0.43859649122807015,0.14035087719298245,0.08771929824561403,0.017543859649122806,0.24561403508771928,0.15789473684210525,0.03508771929824561,0.15789473684210525
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game6,Jacob,3.0,Seer,Seer,62,0,22,21,40,22,4,3,24,11,7,15,22,64,0.6451612903225806,0.3548387096774194,0.3387096774193548,0.06451612903225806,0.04838709677419355,0.3870967741935484,0.1774193548387097,0.11290322580645161,0.24193548387096775
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game6,Sean,1.0,Villager,Robber,53,0,30,5,23,30,7,1,7,7,1,6,30,29,0.4339622641509434,0.5660377358490566,0.09433962264150944,0.1320754716981132,0.018867924528301886,0.1320754716981132,0.1320754716981132,0.018867924528301886,0.11320754716981132
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game6,Zack,0.0,Robber,Villager,22,0,10,2,12,10,2,1,2,3,1,5,10,14,0.5454545454545454,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.13636363636363635,0.045454545454545456,0.22727272727272727
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game7,Hunter,2.0,Troublemaker,Robber,14,0,6,2,8,6,0,0,4,4,1,2,6,11,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.0,0.0,0.2857142857142857,0.2857142857142857,0.07142857142857142,0.14285714285714285
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game7,Jacob,3.0,Robber,Troublemaker,15,0,4,3,11,4,2,0,3,3,1,5,4,14,0.7333333333333333,0.26666666666666666,0.2,0.13333333333333333,0.0,0.2,0.2,0.06666666666666667,0.3333333333333333
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game7,Sean,1.0,Seer,Werewolf,12,0,6,3,6,6,3,1,1,2,1,1,6,9,0.5,0.5,0.25,0.25,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game7,Zack,0.0,Werewolf,Seer,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game8,Hunter,2.0,Werewolf,Troublemaker,20,0,12,1,8,12,2,0,1,1,1,4,12,9,0.4,0.6,0.05,0.1,0.0,0.05,0.05,0.05,0.2
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game8,Jacob,3.0,Villager,Villager,26,0,21,2,5,21,0,1,3,0,2,1,21,7,0.19230769230769232,0.8076923076923077,0.07692307692307693,0.0,0.038461538461538464,0.11538461538461539,0.0,0.07692307692307693,0.038461538461538464
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game8,Sean,1.0,Troublemaker,Robber,13,0,5,1,8,5,2,1,1,1,1,3,5,9,0.6153846153846154,0.38461538461538464,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.23076923076923078
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game8,Zack,0.0,Robber,Werewolf,18,0,12,3,6,12,0,0,2,2,4,1,12,9,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.05555555555555555
