game_id,run_1,run_2,run_3,greedy_t0
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game5,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,Mitchell,Mitchell,Mitchell,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game7,James,James,James,James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game8,Alvin,Alvin,Alvin,Alvin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game9,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game1,Caitlynn,Caitlynn,Caitlynn,Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,Mike,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game3,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game4,Mike,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game5,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,Justin,Justin,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game7,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game2,Mike,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game3,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game4,Mitchell,Mitchell,Mitchell,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game5,James,James,James,James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,Mike,Mike,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game7,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,Mitchell,Mitchell,James,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,Mitchell,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,Mike,Mitchell,Mike,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game4,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game5,James,James,James,James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game6,Caitlynn,Caitlynn,Caitlynn,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,Caitlynn,No Werewolf,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,Mitchell,No Werewolf,Mitchell,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,Paul,Paul,Paul,Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,Paul,Paul,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game5,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,Mitchell,Justin,Mitchell,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game7,Paul,Justin,Paul,Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game8,Justin,No Werewolf,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,Jordan2,Jordan2,Haak,Jordan2
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,Meryl,Meryl,Jordan2,Meryl
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,Mike,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,Mitchell,Mitchell,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,No Werewolf,Julie,No Werewolf,Julie
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,Mitchell,Mitchell,No Werewolf,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game2,Mike,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017 / Game1,Mitchell,Paul,Mitchell,Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,Meghan,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game3,Meghan,Meghan,Meghan,Meghan
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game1,Alysha,Alysha,Alysha,Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,Mike,Mike,Caitlynn,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game2,Mike,Paul,Paul,Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,Alysha,Mitchell,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game2,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game3,Mitchell,Mitchell,Mitchell,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018 / Game2,Mike,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,James,James,James,James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game4,Mike,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,Mike,Justin,Mike,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,Justin,Mitchell,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,Paul,No Werewolf,Paul,Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,Mike,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game3,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game4,Mike,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game1,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,Justin,Mitchell,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game4,Paul,Paul,No Werewolf,Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game4,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,Mike,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016 / Game1,Mike,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019 / Game3,Justin,No Werewolf,Caitlynn,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game1,Caitlynn,Caitlynn,Caitlynn,Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,Mitchell,Mitchell,Caitlynn,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,Justin,James,Paul,Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game2,James,James,James,James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019 / Game1,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game3,Justin,Justin,James,James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game4,Paul,Paul,Paul,James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game5,Justin,Paul,James,Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game1,Alana,Alana,Alana,Alana
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game2,Caitlynn,Caitlynn,Caitlynn,Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game3,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game4,Mitchell,Caitlynn,Caitlynn,Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game1,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game4,Mike,Mike,Mitchell,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game2,Caitlynn,Caitlynn,Mike,Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game3,Mike,Mike,Mike,Meghan
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game1,Paul,Paul,Paul,Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game3,Mitchell,Justin,Paul,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game4,Mike,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game1,Mitchell,Mitchell,Mitchell,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game2,Paul,Paul,Paul,Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game2,Justin,James,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game3,Mitchell,Mitchell,James,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game1,Alana,Caitlynn,Mike,Alana
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game2,Alana,Alana,Alana,Alana
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game3,Mike,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game4,No Werewolf,Mike,No Werewolf,No Werewolf
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game2,Justin,Justin,Justin,Justin
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game3,Justin,Justin,Justin,Justin
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,Justin,Mitchell,No Werewolf,No Werewolf
Youtube / One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough / Game1,Brett,Brett,Brett,Brett
Youtube / One#Night#Ultimate#Werewolf#2#The#Drunk / Game1,Dan,Dan,Dan,Dan
Youtube / One#Night#Ultimate#Werewolf#3#Insomniac / Game1,Brett,Brett,Brett,Brett
Youtube / One#Night#Ultimate#Werewolf#361#Classic#Werewolf / Game1,Dylan,Dylan,Dylan,Dylan
Youtube / One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf / Game1,Kelsey,Kelsey,Kelsey,Pete
Youtube / One#Night#Ultimate#Werewolf#363#Even#More#Classic#Werewolf / Game1,Dylan,Dylan,Dylan,Dylan
Youtube / One#Night#Ultimate#Werewolf#381#The#Hunt#Is#On / Game1,No Werewolf,No Werewolf,No Werewolf,Brett
Youtube / One#Night#Ultimate#Werewolf#382#Game#100!! / Game1,Dustin,Dustin,Dustin,Dustin
Youtube / One#Night#Ultimate#Werewolf#491#Classic#Werewolf / Game1,Pete,Pete,Pete,Pete
Youtube / One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf / Game1,Katie,Katie,Katie,Dustin
Youtube / One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf / Game1,Katie,No Werewolf,No Werewolf,No Werewolf
Youtube / One#Night#Ultimate#Werewolf#531#Classic#ONUW / Game1,Brett,Katie,Katie,Katie
Youtube / One#Night#Ultimate#Werewolf#532#More#Classic#ONUW / Game1,DeAndre,DeAndre,DeAndre,DeAndre
Youtube / One#Night#Ultimate#Werewolf#533#Even#More#Classic#ONUW / Game1,DeAndre,DeAndre,DeAndre,DeAndre
Youtube / One#Night#Ultimate#Werewolf#GAME#NIGHT!! / Game2,Eric,Shane,Eric,Shane
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game1,Justin,Paul,Paul,Justin
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game2,No Werewolf,Mike,Mike,Mike
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game3,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game4,Mike,Mike,Eric,Mike
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game5,Eric,Eric,Eric,Eric
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game5,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game6,Justin,Tyler,Justin,Paul
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,James,James,James,Mitchell
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game1,Paul,Paul,No Werewolf,Paul
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game2,James,James,James,James
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game3,Paul,Paul,Paul,Paul
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game4,Paul,Paul,Paul,Paul
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game5,Justin,Justin,Justin,Justin
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game1,Laura,Laura,Laura,Laura
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game2,James,James,James,Justin
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game3,Laura,James,Laura,James
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game4,Laura,Laura,No Werewolf,James
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game5,Laura,Laura,Laura,Laura
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game1,Justin,Justin,Mitchell,Mitchell
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game2,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game3,Paul,Paul,Paul,Paul
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game4,Justin,Justin,Justin,Justin
