game_id,run_1,run_2,run_3,agreement_type,n_unique_votes,vote_pattern,stochastic_majority_vote,has_stochastic_majority,n_unique_stochastic_votes,stochastic_majority_correct
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Erin,Brent,Erin,two_vs_one,2,Erin | Brent | Erin,Erin,True,2,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game3,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,Jacob,No Werewolf,No Werewolf,two_vs_one,2,Jacob | No Werewolf | No Werewolf,No Werewolf,True,2,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game5,Sean,Sean,Sean,unanimous,1,Sean | Sean | Sean,Sean,True,1,True
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,Daniel,Jessica,Daniel,two_vs_one,2,Daniel | Jessica | Daniel,Daniel,True,2,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game2,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,True
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game3,No Werewolf,Daniel,No Werewolf,two_vs_one,2,No Werewolf | Daniel | No Werewolf,No Werewolf,True,2,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,Jessica,Daniel,Daniel,two_vs_one,2,Jessica | Daniel | Daniel,Daniel,True,2,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,Kevin,Kevin,Daniel,two_vs_one,2,Kevin | Kevin | Daniel,Kevin,True,2,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game6,Kevin,Kevin,Kevin,unanimous,1,Kevin | Kevin | Kevin,Kevin,True,1,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game10,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,Jessica,Kevin,Kevin,two_vs_one,2,Jessica | Kevin | Kevin,Kevin,True,2,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,Jessica,Jessica,Kaelan,two_vs_one,2,Jessica | Jessica | Kaelan,Jessica,True,2,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game7,Jessica,Jessica,Daniel,two_vs_one,2,Jessica | Jessica | Daniel,Jessica,True,2,True
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,True
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game9,Daniel,Daniel,Daniel,unanimous,1,Daniel | Daniel | Daniel,Daniel,True,1,False
Ego4D / 64076f60-f3fc-4ee6-93e1-3489d8ec7b12 / Game3,Brent,Brent,Brent,unanimous,1,Brent | Brent | Brent,Brent,True,1,True
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game1,James,Elliot,James,two_vs_one,2,James | Elliot | James,James,True,2,False
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game2,Sukeshi,Sukeshi,Sukeshi,unanimous,1,Sukeshi | Sukeshi | Sukeshi,Sukeshi,True,1,True
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game3,James,James,James,unanimous,1,James | James | James,James,True,1,True
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,Mitchell,Mitchell,Justin,two_vs_one,2,Mitchell | Mitchell | Justin,Mitchell,True,2,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game2,James,James,James,unanimous,1,James | James | James,James,True,1,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,James,Laura,No Werewolf,all_different,3,James | Laura | No Werewolf,,False,3,
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,Paul,Laura,James,all_different,3,Paul | Laura | James,,False,3,
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game5,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game1,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game10,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,Mitchell,Mitchell,James,two_vs_one,2,Mitchell | Mitchell | James,Mitchell,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,James,James,James,unanimous,1,James | James | James,James,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game5,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game7,James,James,James,unanimous,1,James | James | James,James,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game8,Alvin,Alvin,Alvin,unanimous,1,Alvin | Alvin | Alvin,Alvin,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game9,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game1,Caitlynn,Caitlynn,Caitlynn,unanimous,1,Caitlynn | Caitlynn | Caitlynn,Caitlynn,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game3,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game4,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game5,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,Justin,Justin,Mitchell,two_vs_one,2,Justin | Justin | Mitchell,Justin,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game7,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game2,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game3,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game4,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game5,James,James,James,unanimous,1,James | James | James,James,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,Mike,Mike,No Werewolf,two_vs_one,2,Mike | Mike | No Werewolf,Mike,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game7,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,Mitchell,Mitchell,James,two_vs_one,2,Mitchell | Mitchell | James,Mitchell,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,Mitchell,Justin,Justin,two_vs_one,2,Mitchell | Justin | Justin,Justin,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,Mike,Mitchell,Mike,two_vs_one,2,Mike | Mitchell | Mike,Mike,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game4,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game5,James,James,James,unanimous,1,James | James | James,James,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game6,Caitlynn,Caitlynn,Caitlynn,unanimous,1,Caitlynn | Caitlynn | Caitlynn,Caitlynn,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,Caitlynn,No Werewolf,No Werewolf,two_vs_one,2,Caitlynn | No Werewolf | No Werewolf,No Werewolf,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,Mitchell,No Werewolf,Mitchell,two_vs_one,2,Mitchell | No Werewolf | Mitchell,Mitchell,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,Paul,Paul,Paul,unanimous,1,Paul | Paul | Paul,Paul,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,Paul,Paul,Justin,two_vs_one,2,Paul | Paul | Justin,Paul,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game5,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,Mitchell,Justin,Mitchell,two_vs_one,2,Mitchell | Justin | Mitchell,Mitchell,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game7,Paul,Justin,Paul,two_vs_one,2,Paul | Justin | Paul,Paul,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game8,Justin,No Werewolf,No Werewolf,two_vs_one,2,Justin | No Werewolf | No Werewolf,No Werewolf,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,Jordan2,Jordan2,Haak,two_vs_one,2,Jordan2 | Jordan2 | Haak,Jordan2,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,Meryl,Meryl,Jordan2,two_vs_one,2,Meryl | Meryl | Jordan2,Meryl,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,Mitchell,Mitchell,No Werewolf,two_vs_one,2,Mitchell | Mitchell | No Werewolf,Mitchell,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,No Werewolf,Julie,No Werewolf,two_vs_one,2,No Werewolf | Julie | No Werewolf,No Werewolf,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,Mitchell,Mitchell,No Werewolf,two_vs_one,2,Mitchell | Mitchell | No Werewolf,Mitchell,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game2,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017 / Game1,Mitchell,Paul,Mitchell,two_vs_one,2,Mitchell | Paul | Mitchell,Mitchell,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,Meghan,Mike,Mike,two_vs_one,2,Meghan | Mike | Mike,Mike,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game3,Meghan,Meghan,Meghan,unanimous,1,Meghan | Meghan | Meghan,Meghan,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game1,Alysha,Alysha,Alysha,unanimous,1,Alysha | Alysha | Alysha,Alysha,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,Mike,Mike,Caitlynn,two_vs_one,2,Mike | Mike | Caitlynn,Mike,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game2,Mike,Paul,Paul,two_vs_one,2,Mike | Paul | Paul,Paul,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,Alysha,Mitchell,Justin,all_different,3,Alysha | Mitchell | Justin,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game2,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game3,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018 / Game2,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,James,James,James,unanimous,1,James | James | James,James,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game4,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,Mike,Justin,Mike,two_vs_one,2,Mike | Justin | Mike,Mike,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,Justin,Mitchell,No Werewolf,all_different,3,Justin | Mitchell | No Werewolf,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,Paul,No Werewolf,Paul,two_vs_one,2,Paul | No Werewolf | Paul,Paul,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,Mike,Mitchell,Mitchell,two_vs_one,2,Mike | Mitchell | Mitchell,Mitchell,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game3,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game4,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game1,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,Justin,Mitchell,Justin,two_vs_one,2,Justin | Mitchell | Justin,Justin,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game4,Paul,Paul,No Werewolf,two_vs_one,2,Paul | Paul | No Werewolf,Paul,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game4,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,Mike,Mitchell,Mitchell,two_vs_one,2,Mike | Mitchell | Mitchell,Mitchell,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016 / Game1,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019 / Game3,Justin,No Werewolf,Caitlynn,all_different,3,Justin | No Werewolf | Caitlynn,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game1,Caitlynn,Caitlynn,Caitlynn,unanimous,1,Caitlynn | Caitlynn | Caitlynn,Caitlynn,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,Mitchell,Mitchell,Caitlynn,two_vs_one,2,Mitchell | Mitchell | Caitlynn,Mitchell,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,Justin,James,Paul,all_different,3,Justin | James | Paul,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game2,James,James,James,unanimous,1,James | James | James,James,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019 / Game1,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game3,Justin,Justin,James,two_vs_one,2,Justin | Justin | James,Justin,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game4,Paul,Paul,Paul,unanimous,1,Paul | Paul | Paul,Paul,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game5,Justin,Paul,James,all_different,3,Justin | Paul | James,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game1,Alana,Alana,Alana,unanimous,1,Alana | Alana | Alana,Alana,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game2,Caitlynn,Caitlynn,Caitlynn,unanimous,1,Caitlynn | Caitlynn | Caitlynn,Caitlynn,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game3,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game4,Mitchell,Caitlynn,Caitlynn,two_vs_one,2,Mitchell | Caitlynn | Caitlynn,Caitlynn,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game1,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game4,Mike,Mike,Mitchell,two_vs_one,2,Mike | Mike | Mitchell,Mike,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game2,Caitlynn,Caitlynn,Mike,two_vs_one,2,Caitlynn | Caitlynn | Mike,Caitlynn,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game3,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game1,Paul,Paul,Paul,unanimous,1,Paul | Paul | Paul,Paul,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game3,Mitchell,Justin,Paul,all_different,3,Mitchell | Justin | Paul,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game4,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game1,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game2,Paul,Paul,Paul,unanimous,1,Paul | Paul | Paul,Paul,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game2,Justin,James,No Werewolf,all_different,3,Justin | James | No Werewolf,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game3,Mitchell,Mitchell,James,two_vs_one,2,Mitchell | Mitchell | James,Mitchell,True,2,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game1,Alana,Caitlynn,Mike,all_different,3,Alana | Caitlynn | Mike,,False,3,
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game2,Alana,Alana,Alana,unanimous,1,Alana | Alana | Alana,Alana,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game3,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game4,No Werewolf,Mike,No Werewolf,two_vs_one,2,No Werewolf | Mike | No Werewolf,No Werewolf,True,2,False
