game_id,run_1,run_2,run_3,greedy_t0,n_unique_votes,all_same,agreement_type,vote_pattern
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Erin,Brent,Erin,Brent,2,False,two_vs_one,Erin | Brent | Erin
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,Zack,Zack,Hunter,Zack,2,False,two_vs_one,Zack | Zack | Hunter
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,Zack,Zack,Sean,Zack,2,False,two_vs_one,Zack | Zack | Sean
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,Clint,Clint,Clint,Clint,1,True,unanimous,Clint | Clint | Clint
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,Clint,Clint,Clint,Clint,1,True,unanimous,Clint | Clint | Clint
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,Erin,Erin,Erin,Clint,1,True,unanimous,Erin | Erin | Erin
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,Tyler,Tyler,Tyler,Tyler,1,True,unanimous,Tyler | Tyler | Tyler
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,Tyler,Tyler,Tyler,Tyler,1,True,unanimous,Tyler | Tyler | Tyler
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,Sean,Sean,Sean,Sean,1,True,unanimous,Sean | Sean | Sean
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game3,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,Jacob,No Werewolf,No Werewolf,Jacob,2,False,two_vs_one,Jacob | No Werewolf | No Werewolf
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game5,Sean,Sean,Sean,Sean,1,True,unanimous,Sean | Sean | Sean
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,Daniel,Jessica,Daniel,Kaelan,2,False,two_vs_one,Daniel | Jessica | Daniel
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game2,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game3,No Werewolf,Daniel,No Werewolf,No Werewolf,2,False,two_vs_one,No Werewolf | Daniel | No Werewolf
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,Jessica,Daniel,Daniel,Daniel,2,False,two_vs_one,Jessica | Daniel | Daniel
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,Kevin,Kevin,Daniel,Daniel,2,False,two_vs_one,Kevin | Kevin | Daniel
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game6,Kevin,Kevin,Kevin,Kaelan,1,True,unanimous,Kevin | Kevin | Kevin
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game10,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,Jessica,Kevin,Kevin,Jessica,2,False,two_vs_one,Jessica | Kevin | Kevin
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,Jessica,Jessica,Kaelan,Jessica,2,False,two_vs_one,Jessica | Jessica | Kaelan
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game7,Jessica,Jessica,Daniel,Jessica,2,False,two_vs_one,Jessica | Jessica | Daniel
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,No Werewolf,No Werewolf,No Werewolf,Kevin,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game9,Daniel,Daniel,Daniel,Daniel,1,True,unanimous,Daniel | Daniel | Daniel
Ego4D / 64076f60-f3fc-4ee6-93e1-3489d8ec7b12 / Game3,Brent,Brent,Brent,Brent,1,True,unanimous,Brent | Brent | Brent
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game1,James,Elliot,James,Elliot,2,False,two_vs_one,James | Elliot | James
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game2,Sukeshi,Sukeshi,Sukeshi,Ashley,1,True,unanimous,Sukeshi | Sukeshi | Sukeshi
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game3,James,James,James,James,1,True,unanimous,James | James | James
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,Mitchell,Mitchell,Justin,Justin,2,False,two_vs_one,Mitchell | Mitchell | Justin
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game2,James,James,James,James,1,True,unanimous,James | James | James
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,James,Laura,No Werewolf,No Werewolf,3,False,all_different,James | Laura | No Werewolf
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,Paul,Laura,James,Paul,3,False,all_different,Paul | Laura | James
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game5,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game10,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,Mitchell,Mitchell,James,Justin,2,False,two_vs_one,Mitchell | Mitchell | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,James,James,James,James,1,True,unanimous,James | James | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game5,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,Mitchell,Mitchell,Mitchell,No Werewolf,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game7,James,James,James,James,1,True,unanimous,James | James | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game8,Alvin,Alvin,Alvin,Alvin,1,True,unanimous,Alvin | Alvin | Alvin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game9,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game1,Caitlynn,Caitlynn,Caitlynn,Caitlynn,1,True,unanimous,Caitlynn | Caitlynn | Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game3,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game4,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game5,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,Justin,Justin,Mitchell,Mitchell,2,False,two_vs_one,Justin | Justin | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game7,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game2,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game3,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game4,Mitchell,Mitchell,Mitchell,Mike,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game5,James,James,James,James,1,True,unanimous,James | James | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,Mike,Mike,No Werewolf,No Werewolf,2,False,two_vs_one,Mike | Mike | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game7,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,Mitchell,Mitchell,James,Mitchell,2,False,two_vs_one,Mitchell | Mitchell | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,Mitchell,Justin,Justin,Justin,2,False,two_vs_one,Mitchell | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,Mike,Mitchell,Mike,Mitchell,2,False,two_vs_one,Mike | Mitchell | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game4,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game5,James,James,James,James,1,True,unanimous,James | James | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game6,Caitlynn,Caitlynn,Caitlynn,Mitchell,1,True,unanimous,Caitlynn | Caitlynn | Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,Caitlynn,No Werewolf,No Werewolf,No Werewolf,2,False,two_vs_one,Caitlynn | No Werewolf | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,Mitchell,No Werewolf,Mitchell,No Werewolf,2,False,two_vs_one,Mitchell | No Werewolf | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,Paul,Paul,Paul,Paul,1,True,unanimous,Paul | Paul | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,Paul,Paul,Justin,Justin,2,False,two_vs_one,Paul | Paul | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game5,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,Mitchell,Justin,Mitchell,Justin,2,False,two_vs_one,Mitchell | Justin | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game7,Paul,Justin,Paul,Paul,2,False,two_vs_one,Paul | Justin | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game8,Justin,No Werewolf,No Werewolf,No Werewolf,2,False,two_vs_one,Justin | No Werewolf | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,Jordan2,Jordan2,Haak,Jordan2,2,False,two_vs_one,Jordan2 | Jordan2 | Haak
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,Meryl,Meryl,Jordan2,Meryl,2,False,two_vs_one,Meryl | Meryl | Jordan2
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,Mitchell,Mitchell,No Werewolf,No Werewolf,2,False,two_vs_one,Mitchell | Mitchell | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,No Werewolf,Julie,No Werewolf,Julie,2,False,two_vs_one,No Werewolf | Julie | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,Mitchell,Mitchell,No Werewolf,Mitchell,2,False,two_vs_one,Mitchell | Mitchell | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game2,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017 / Game1,Mitchell,Paul,Mitchell,Paul,2,False,two_vs_one,Mitchell | Paul | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,Meghan,Mike,Mike,Mike,2,False,two_vs_one,Meghan | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game3,Meghan,Meghan,Meghan,Meghan,1,True,unanimous,Meghan | Meghan | Meghan
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game1,Alysha,Alysha,Alysha,Paul,1,True,unanimous,Alysha | Alysha | Alysha
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,Mike,Mike,Caitlynn,Mike,2,False,two_vs_one,Mike | Mike | Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game2,Mike,Paul,Paul,Paul,2,False,two_vs_one,Mike | Paul | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,Alysha,Mitchell,Justin,Justin,3,False,all_different,Alysha | Mitchell | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game2,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game3,Mitchell,Mitchell,Mitchell,Justin,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018 / Game2,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,James,James,James,James,1,True,unanimous,James | James | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game4,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,Mike,Justin,Mike,Justin,2,False,two_vs_one,Mike | Justin | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,Justin,Mitchell,No Werewolf,No Werewolf,3,False,all_different,Justin | Mitchell | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,Paul,No Werewolf,Paul,Paul,2,False,two_vs_one,Paul | No Werewolf | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,Mike,Mitchell,Mitchell,Mitchell,2,False,two_vs_one,Mike | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game3,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game4,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game1,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,Justin,Mitchell,Justin,Justin,2,False,two_vs_one,Justin | Mitchell | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game4,Paul,Paul,No Werewolf,Paul,2,False,two_vs_one,Paul | Paul | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game4,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,Mike,Mitchell,Mitchell,Mitchell,2,False,two_vs_one,Mike | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016 / Game1,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019 / Game3,Justin,No Werewolf,Caitlynn,Justin,3,False,all_different,Justin | No Werewolf | Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game1,Caitlynn,Caitlynn,Caitlynn,Caitlynn,1,True,unanimous,Caitlynn | Caitlynn | Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,Mitchell,Mitchell,Caitlynn,Mitchell,2,False,two_vs_one,Mitchell | Mitchell | Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,Justin,James,Paul,Paul,3,False,all_different,Justin | James | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game2,James,James,James,James,1,True,unanimous,James | James | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019 / Game1,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game3,Justin,Justin,James,James,2,False,two_vs_one,Justin | Justin | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game4,Paul,Paul,Paul,James,1,True,unanimous,Paul | Paul | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game5,Justin,Paul,James,Paul,3,False,all_different,Justin | Paul | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game1,Alana,Alana,Alana,Alana,1,True,unanimous,Alana | Alana | Alana
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game2,Caitlynn,Caitlynn,Caitlynn,Caitlynn,1,True,unanimous,Caitlynn | Caitlynn | Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game3,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game4,Mitchell,Caitlynn,Caitlynn,Caitlynn,2,False,two_vs_one,Mitchell | Caitlynn | Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game4,Mike,Mike,Mitchell,Mike,2,False,two_vs_one,Mike | Mike | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game2,Caitlynn,Caitlynn,Mike,Caitlynn,2,False,two_vs_one,Caitlynn | Caitlynn | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game3,Mike,Mike,Mike,Meghan,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game1,Paul,Paul,Paul,Paul,1,True,unanimous,Paul | Paul | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game3,Mitchell,Justin,Paul,Justin,3,False,all_different,Mitchell | Justin | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game4,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game1,Mitchell,Mitchell,Mitchell,Mike,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game2,Paul,Paul,Paul,Paul,1,True,unanimous,Paul | Paul | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game2,Justin,James,No Werewolf,No Werewolf,3,False,all_different,Justin | James | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game3,Mitchell,Mitchell,James,Mitchell,2,False,two_vs_one,Mitchell | Mitchell | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game1,Alana,Caitlynn,Mike,Alana,3,False,all_different,Alana | Caitlynn | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game2,Alana,Alana,Alana,Alana,1,True,unanimous,Alana | Alana | Alana
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game3,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game4,No Werewolf,Mike,No Werewolf,No Werewolf,2,False,two_vs_one,No Werewolf | Mike | No Werewolf
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game2,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game3,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,Justin,Mitchell,No Werewolf,No Werewolf,3,False,all_different,Justin | Mitchell | No Werewolf
Youtube / One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough / Game1,Brett,Brett,Brett,Brett,1,True,unanimous,Brett | Brett | Brett
Youtube / One#Night#Ultimate#Werewolf#2#The#Drunk / Game1,Dan,Dan,Dan,Dan,1,True,unanimous,Dan | Dan | Dan
Youtube / One#Night#Ultimate#Werewolf#3#Insomniac / Game1,Brett,Brett,Brett,Brett,1,True,unanimous,Brett | Brett | Brett
Youtube / One#Night#Ultimate#Werewolf#361#Classic#Werewolf / Game1,Dylan,Dylan,Dylan,Dylan,1,True,unanimous,Dylan | Dylan | Dylan
Youtube / One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf / Game1,Kelsey,Kelsey,Kelsey,Pete,1,True,unanimous,Kelsey | Kelsey | Kelsey
