game_id,actual_human_available,actual_human_vote_type,actual_human_targets,actual_human_target_names,actual_human_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game4,True,player,[4],"[""Mike""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game5,True,player,[0],"[""Justin""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,True,player,"[2, 0]","[""Mitchell"", ""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game7,True,player,"[3, 0]","[""Caitlynn"", ""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,True,player,[0],"[""Justin""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game2,True,player,[1],"[""Mike""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game3,True,circle,[],[],True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game4,True,player,[3],"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game5,True,player,[3],"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,True,player,[1],"[""Mike""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game7,True,player,[3],"[""Mitchell""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,True,circle,[],[],True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,True,player,[4],"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,True,player,[0],"[""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,True,player,[4],"[""Mitchell""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game4,True,player,[4],"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game5,False,,[],[],
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game6,True,player,[4],"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,True,player,[1],"[""Caitlynn""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,False,,[],[],
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,True,player,[2],"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,True,player,[0],"[""Justin""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,True,player,[1],"[""Paul""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,True,circle,[],[],True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game5,True,player,[2],"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,True,player,[2],"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game7,True,circle,[],[],False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game8,True,player,[2],"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,True,player,"[2, 0]","[""Haak"", ""Sarah""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,True,player,[2],"[""Haak""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,False,,[],[],
Youtube / One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough / Game1,True,player,[3],"[""Brett""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,True,player,[1],"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,True,player,"[1, 0]","[""Julie"", ""Justin""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,True,circle,[],[],False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,True,player,[0],"[""Justin""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,True,player,[1],"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game2,True,player,[1],"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017 / Game1,True,circle,[],[],False
Youtube / One#Night#Ultimate#Werewolf#2#The#Drunk / Game1,True,player,[0],"[""Dan""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,True,player,[2],"[""Paul""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game3,True,player,[1],"[""Meghan""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game1,True,player,"[4, 3]","[""Mitchell"", ""Alysha""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,True,player,[5],"[""Mike""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,True,player,[5],"[""Mike""]",False
Youtube / One#Night#Ultimate#Werewolf#3#Insomniac / Game1,True,player,[3],"[""Brett""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game2,True,player,[5],"[""Mike""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,True,player,[3],"[""Alysha""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game2,True,player,[3],"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game3,True,player,[4],"[""Mike""]",True
Youtube / One#Night#Ultimate#Werewolf#361#Classic#Werewolf / Game1,True,player,"[4, 2]","[""Kelsey"", ""Brett""]",True
Youtube / One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf / Game1,True,player,"[4, 3]","[""Kelsey"", ""George""]",False
Youtube / One#Night#Ultimate#Werewolf#363#Even#More#Classic#Werewolf / Game1,True,player,[1],"[""Katie""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018 / Game2,True,player,[4],"[""Mike""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,True,player,[0],"[""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game4,True,player,[4],"[""Mike""]",False
Youtube / One#Night#Ultimate#Werewolf#381#The#Hunt#Is#On / Game1,True,player,"[4, 3]","[""Kelsey"", ""Brett""]",False
Youtube / One#Night#Ultimate#Werewolf#382#Game#100!! / Game1,True,player,[5],"[""Dylan""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,True,player,[0],"[""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,True,player,"[1, 2]","[""Paul"", ""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,True,player,"[1, 2]","[""Paul"", ""Mitchell""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,True,player,[1],"[""Paul""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,True,player,"[1, 3]","[""Mitchell"", ""Mike""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game3,True,player,[2],"[""Paul""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game4,True,player,[2],"[""Paul""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game1,True,player,[0],"[""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,True,player,"[1, 0]","[""Mitchell"", ""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,True,circle,[],[],True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game4,True,circle,[],[],True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,True,player,[1],"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game4,True,player,[3],"[""Mike""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,True,player,[3],"[""Mike""]",False
Youtube / One#Night#Ultimate#Werewolf#491#Classic#Werewolf / Game1,True,player,[0],"[""Pete""]",False
Youtube / One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf / Game1,True,player,[0],"[""Pete""]",False
Youtube / One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf / Game1,True,player,[1],"[""Katie""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016 / Game1,True,player,[3],"[""Mike""]",False
Youtube / One#Night#Ultimate#Werewolf#531#Classic#ONUW / Game1,True,player,[2],"[""Brett""]",False
Youtube / One#Night#Ultimate#Werewolf#532#More#Classic#ONUW / Game1,True,player,[3],"[""DeAndre""]",True
Youtube / One#Night#Ultimate#Werewolf#533#Even#More#Classic#ONUW / Game1,True,player,[3],"[""DeAndre""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019 / Game3,True,player,[2],"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game1,True,player,[0],"[""Caitlynn""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,True,player,[0],"[""Caitlynn""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,True,player,[1],"[""James""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game2,True,player,[2],"[""Paul""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019 / Game1,True,player,[1],"[""James""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game3,True,player,[2],"[""Paul""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game4,True,player,"[1, 2]","[""James"", ""Paul""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game5,True,player,[0],"[""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game1,False,,[],[],
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game2,True,player,[0],"[""Caitlynn""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game3,True,player,"[2, 1]","[""Alana"", ""Mitchell""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game4,True,player,[0],"[""Caitlynn""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game1,True,circle,[],[],False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game4,True,player,[2],"[""Mitchell""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game2,True,player,[2],"[""Caitlynn""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game3,True,player,[1],"[""Meghan""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game1,True,player,[2],"[""Paul""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game3,True,player,"[2, 0]","[""Paul"", ""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game4,True,player,[3],"[""Mike""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game1,True,player,[1],"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game2,True,player,[2],"[""Paul""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game2,True,player,[0],"[""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game3,True,player,[3],"[""James""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game1,True,player,"[1, 0]","[""Mitchell"", ""Caitlynn""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game2,True,player,[2],"[""Alana""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game3,True,player,[0],"[""Caitlynn""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game4,True,player,[2],"[""Alana""]",True
Youtube / One#Night#Ultimate#Werewolf#GAME#NIGHT!! / Game2,True,player,[1],"[""Shane""]",True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game1,True,player,[2],"[""Paul""]",True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game2,True,player,[4],"[""Mike""]",True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game3,True,player,[3],"[""Mitchell""]",False
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game4,True,player,[4],"[""Mike""]",True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game5,True,player,[1],"[""Eric""]",False
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game5,True,player,[1],"[""Mitchell""]",True
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game6,True,player,[1],"[""Mitchell""]",False
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,True,player,"[2, 0]","[""Paul"", ""Justin""]",True
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game1,True,player,[3],"[""James""]",False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game2,True,player,[0],"[""Justin""]",True
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game3,True,player,[2],"[""Paul""]",False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game4,True,player,[2],"[""Paul""]",True
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game5,True,player,[0],"[""Justin""]",False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game1,True,player,[1],"[""Laura""]",True
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game2,True,player,[1],"[""Laura""]",False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game3,True,player,[1],"[""Laura""]",True
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game4,True,player,[3],"[""James""]",False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game5,True,player,[1],"[""Laura""]",True
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game1,True,player,[3],"[""Mitchell""]",False
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game2,True,player,[3],"[""Mitchell""]",False
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game3,True,player,[2],"[""Paul""]",True
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game4,True,player,[1],"[""Eric""]",False
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,False,,[],[],
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,False,,[],[],
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,True,player,"[1, 5]","[""Ashley"", ""Sian""]",True
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,True,player,[3],"[""Chris""]",True
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,True,player,[4],"[""Sukeshi""]",False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,True,player,[1],"[""Ashley""]",False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,True,player,[1],"[""Ashley""]",False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,True,player,[0],"[""Elliot""]",False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,True,player,[0],"[""Zack""]",False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,True,player,[3],"[""Jacob""]",False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,True,circle,[],[],True
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,True,player,[1],"[""Sean""]",True
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,True,player,[3],"[""Jacob""]",False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,True,player,[1],"[""Sean""]",False
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,True,player,[2],"[""Erin""]",True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,True,player,"[2, 3]","[""Erin"", ""Clint""]",True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,True,player,[2],"[""Erin""]",False
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,True,player,[3],"[""Clint""]",True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,True,player,[0],"[""Tyler""]",True
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,True,circle,[],[],False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,True,player,[1],"[""Sean""]",False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game3,True,player,[3],"[""Jacob""]",True
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,True,player,[2],"[""Hunter""]",True
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game5,True,player,[1],"[""Sean""]",True
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,False,,[],[],
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game2,False,,[],[],
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game3,False,,[],[],
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,False,,[],[],
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,False,,[],[],
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game6,False,,[],[],
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game10,False,,[],[],
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,False,,[],[],
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,False,,[],[],
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game7,False,,[],[],
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,False,,[],[],
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game9,False,,[],[],
Ego4D / 64076f60-f3fc-4ee6-93e1-3489d8ec7b12 / Game3,False,,[],[],
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game1,True,player,[1],"[""Ashley""]",True
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game2,True,player,"[5, 2]","[""Sian"", ""James""]",False
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game3,True,player,[2],"[""James""]",True
