game_id,run_1,run_2,run_3,greedy_t0,n_unique_votes,all_same,agreement_type,vote_pattern
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game1,Alana,Caitlynn,Mike,Alana,3,False,all_different,Alana | Caitlynn | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,Mitchell,Justin,Mitchell,Justin,2,False,two_vs_one,Mitchell | Justin | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,Mitchell,Mitchell,Caitlynn,Mitchell,2,False,two_vs_one,Mitchell | Mitchell | Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,Mitchell,Mitchell,James,Justin,2,False,two_vs_one,Mitchell | Mitchell | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,Mitchell,Mitchell,James,Mitchell,2,False,two_vs_one,Mitchell | Mitchell | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game3,Mitchell,Mitchell,James,Mitchell,2,False,two_vs_one,Mitchell | Mitchell | James
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,Mitchell,Mitchell,Justin,Justin,2,False,two_vs_one,Mitchell | Mitchell | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,Mitchell,Mitchell,No Werewolf,No Werewolf,2,False,two_vs_one,Mitchell | Mitchell | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,Mitchell,Mitchell,No Werewolf,Mitchell,2,False,two_vs_one,Mitchell | Mitchell | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,Mitchell,No Werewolf,Mitchell,No Werewolf,2,False,two_vs_one,Mitchell | No Werewolf | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017 / Game1,Mitchell,Paul,Mitchell,Paul,2,False,two_vs_one,Mitchell | Paul | Mitchell
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game3,No Werewolf,Daniel,No Werewolf,No Werewolf,2,False,two_vs_one,No Werewolf | Daniel | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,No Werewolf,Julie,No Werewolf,Julie,2,False,two_vs_one,No Werewolf | Julie | No Werewolf
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game2,No Werewolf,Mike,Mike,Mike,2,False,two_vs_one,No Werewolf | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game4,No Werewolf,Mike,No Werewolf,No Werewolf,2,False,two_vs_one,No Werewolf | Mike | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game7,Paul,Justin,Paul,Paul,2,False,two_vs_one,Paul | Justin | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,Paul,No Werewolf,Paul,Paul,2,False,two_vs_one,Paul | No Werewolf | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,Paul,Paul,Justin,Justin,2,False,two_vs_one,Paul | Paul | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game4,Paul,Paul,No Werewolf,Paul,2,False,two_vs_one,Paul | Paul | No Werewolf
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game1,Paul,Paul,No Werewolf,Paul,2,False,two_vs_one,Paul | Paul | No Werewolf
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Sian,James,James,Sian,2,False,two_vs_one,Sian | James | James
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,Zack,Zack,Hunter,Zack,2,False,two_vs_one,Zack | Zack | Hunter
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,Zack,Zack,Sean,Zack,2,False,two_vs_one,Zack | Zack | Sean
