source,session,game,player,is_self_contradiction,claim_line_numbers,claim_sets
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game10,Hunter,False,"[68, 102]","[[""Troublemaker""], [""Troublemaker""]]"
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game10,Sean,True,"[21, 23, 44, 147, 181, 183]","[[""Villager""], [""Villager""], [""Villager""], [""Tanner""], [""Villager""], [""Villager""]]"
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game10,Zack,False,"[47, 123]","[[""Seer""], [""Seer""]]"
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game11,Jacob,False,"[14, 111, 126]","[[""Drunk""], [""Drunk""], [""Drunk""]]"
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game11,Zack,False,"[12, 16, 18]","[[""Drunk""], [""Drunk""], [""Drunk""]]"
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game6,Hunter,True,"[94, 96]","[[""Villager""], [""Werewolf""]]"
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game6,Jacob,False,"[57, 66, 75, 81, 160]","[[""Seer""], [""Seer""], [""Seer""], [""Seer""], [""Seer""]]"
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game8,Jacob,False,"[46, 77]","[[""Villager""], [""Villager""]]"
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game8,Zack,True,"[56, 59, 66, 71]","[[""Troublemaker""], [""Troublemaker""], [""Robber""], [""Robber""]]"
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game9,Hunter,False,"[34, 83, 86]","[[""Villager""], [""Villager""], [""Villager""]]"
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game9,Jacob,True,"[12, 126]","[[""Seer""], [""Villager""]]"
Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game9,Sean,False,"[30, 106]","[[""Villager""], [""Villager""]]"
Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,Game10,Clint,False,"[35, 38]","[[""Robber""], [""Insomniac"", ""Robber""]]"
Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,Game6,Clint,False,"[12, 20]","[[""Drunk""], [""Drunk""]]"
Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,Game6,Erin,False,"[28, 122]","[[""Robber""], [""Robber""]]"
Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,Game7,Margaret,True,"[52, 86]","[[""Robber""], [""Insomniac""]]"
Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,Game8,Clint,False,"[34, 66]","[[""Insomniac""], [""Insomniac""]]"
Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,Game8,Margaret,False,"[54, 84]","[[""Hunter""], [""Hunter""]]"
Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,Game9,Clint,False,"[7, 37, 118, 121]","[[""Hunter""], [""Hunter""], [""Hunter""], [""Hunter""]]"
Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,Game9,Tyler,False,"[22, 68, 70]","[[""Drunk""], [""Drunk""], [""Drunk""]]"
Ego4D,324bccd2-adff-4e9a-8ff4-03491e144ac3,Game1,Jacob,False,"[60, 139]","[[""Villager""], [""Villager""]]"
Ego4D,324bccd2-adff-4e9a-8ff4-03491e144ac3,Game1,Sean,False,"[98, 145]","[[""Robber""], [""Robber""]]"
Ego4D,324bccd2-adff-4e9a-8ff4-03491e144ac3,Game2,Sean,False,"[33, 60]","[[""Seer""], [""Seer""]]"
Ego4D,324bccd2-adff-4e9a-8ff4-03491e144ac3,Game3,Jacob,False,"[55, 61, 115]","[[""Villager""], [""Villager""], [""Villager""]]"
Ego4D,324bccd2-adff-4e9a-8ff4-03491e144ac3,Game5,Jacob,True,"[37, 78, 172]","[[""Werewolf""], [""Werewolf""], [""Villager""]]"
Ego4D,324bccd2-adff-4e9a-8ff4-03491e144ac3,Game5,Zack,True,"[91, 144, 148, 181]","[[""Villager""], [""Villager""], [""Villager""], [""Werewolf""]]"
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game1,Kaelan,True,"[4, 7, 9]","[[""Troublemaker""], [""Robber""], [""Robber"", ""Troublemaker""]]"
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game1,Kevin,True,"[2, 49]","[[""Troublemaker""], [""Robber""]]"
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game2,Jessica,False,"[12, 18, 25, 43]","[[""Minion""], [""Minion""], [""Minion""], [""Minion""]]"
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game2,Kaelan,False,"[10, 26, 40]","[[""Minion""], [""Minion""], [""Minion"", ""Robber""]]"
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game2,Kevin,False,"[4, 44]","[[""Troublemaker""], [""Troublemaker""]]"
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game3,Danieal,True,"[29, 41]","[[""Seer""], [""Minion""]]"
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game3,Jessica,True,"[7, 11]","[[""Doppelg\u00e4nger""], [""Troublemaker""]]"
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game3,Kaelan,False,"[2, 4]","[[""Troublemaker""], [""Troublemaker""]]"
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game3,Kevin,False,"[19, 21, 43]","[[""Minion""], [""Minion""], [""Minion""]]"
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game4,Danieal,True,"[5, 9, 59]","[[""Robber""], [""Robber""], [""Minion""]]"
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game4,Kaelan,False,"[2, 4, 14, 45]","[[""Seer""], [""Seer""], [""Seer""], [""Seer""]]"
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game4,Kevin,False,"[20, 53, 62]","[[""Troublemaker""], [""Troublemaker""], [""Troublemaker""]]"
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game5,Jessica,True,"[17, 19, 47]","[[""Villager""], [""Tanner""], [""Tanner""]]"
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game6,Jessica,False,"[10, 41, 43]","[[""Insomniac""], [""Insomniac""], [""Insomniac""]]"
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game6,Kaelan,False,"[24, 37]","[[""Robber""], [""Robber""]]"
Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game6,Kevin,True,"[14, 19, 21, 30, 32, 35]","[[""Doppelg\u00e4nger""], [""Doppelg\u00e4nger""], [""Doppelg\u00e4nger""], [""Tanner""], [""Doppelg\u00e4nger""], [""Doppelg\u00e4nger""]]"
Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,Game11,Kevin,False,"[20, 48]","[[""Villager""], [""Villager""]]"
Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,Game7,Danieal,True,"[10, 12]","[[""Insomniac""], [""Seer""]]"
Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,Game8,Danieal,False,"[4, 36]","[[""Drunk""], [""Drunk""]]"
Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,Game8,Kaelan,False,"[5, 7]","[[""Drunk""], [""Drunk"", ""Robber""]]"
Ego4D,64076f60-f3fc-4ee6-93e1-3489d8ec7b12,Game3,Erin,False,"[43, 116]","[[""Troublemaker""], [""Troublemaker""]]"
Ego4D,64076f60-f3fc-4ee6-93e1-3489d8ec7b12,Game3,Jack,True,"[47, 90, 92, 99]","[[""Werewolf""], [""Werewolf""], [""Robber""], [""Troublemaker""]]"
Ego4D,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,Game1,Elliot,False,"[111, 160]","[[""Robber""], [""Robber""]]"
Ego4D,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,Game1,James,True,"[93, 212, 215, 224]","[[""Seer""], [""Werewolf""], [""Werewolf""], [""Robber""]]"
Ego4D,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,Game1,Sian,False,"[19, 82]","[[""Drunk""], [""Drunk""]]"
Ego4D,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,Game2,Chris,True,"[43, 55, 71, 86]","[[""Seer""], [""Seer""], [""Seer""], [""Villager""]]"
Ego4D,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,Game2,Elliot,False,"[29, 40, 147]","[[""Villager""], [""Villager""], [""Villager""]]"
Ego4D,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,Game2,James,True,"[45, 107, 114, 240]","[[""Robber""], [""Hunter""], [""Hunter""], [""Hunter""]]"
Ego4D,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,Game2,Sian,False,"[35, 116]","[[""Hunter""], [""Hunter""]]"
Ego4D,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,Game3,Chris,True,"[51, 69]","[[""Robber""], [""Hunter""]]"
Ego4D,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,Game3,Elliot,False,"[52, 56]","[[""Hunter""], [""Hunter""]]"
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game1,Justin,True,"[46, 107]","[[""Seer""], [""Insomniac""]]"
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game1,Mitchell,False,"[12, 82]","[[""Insomniac""], [""Insomniac""]]"
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game1,Paul,False,"[11, 39]","[[""Villager""], [""Villager""]]"
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game2,James,False,"[134, 154]","[[""Villager""], [""Villager""]]"
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game2,Justin,True,"[42, 56]","[[""Troublemaker""], [""Villager""]]"
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game2,Mitchell,False,"[44, 47]","[[""Seer""], [""Seer""]]"
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game3,Justin,False,"[18, 59]","[[""Troublemaker""], [""Troublemaker""]]"
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game3,Paul,False,"[23, 37]","[[""Insomniac""], [""Insomniac""]]"
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game4,Justin,False,"[28, 30]","[[""Seer"", ""Troublemaker""], [""Troublemaker""]]"
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game4,Laura,False,"[27, 45, 112, 132]","[[""Villager""], [""Villager""], [""Villager""], [""Villager""]]"
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game4,Paul,False,"[26, 122]","[[""Robber""], [""Robber"", ""Villager""]]"
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game5,Justin,True,"[8, 30, 34, 38, 59]","[[""Insomniac""], [""Insomniac""], [""Insomniac""], [""Insomniac""], [""Werewolf""]]"
Youtube,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game5,Mitchell,True,"[6, 58, 71]","[[""Villager""], [""Villager""], [""Werewolf""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game1,Alvin,False,"[44, 47]","[[""Villager""], [""Villager""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game1,Mitchell,False,"[18, 49]","[[""Troublemaker""], [""Troublemaker""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game10,Alvin,True,"[33, 313]","[[""Villager""], [""Seer""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game10,James,False,"[315, 332, 340, 342]","[[""Robber""], [""Robber""], [""Robber""], [""Robber""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game10,Justin,True,"[41, 322, 399]","[[""Seer""], [""Robber"", ""Seer""], [""Werewolf""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game10,Mitchell,True,"[40, 339, 349]","[[""Seer""], [""Robber""], [""Robber""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game2,Alvin,False,"[30, 54]","[[""Villager""], [""Villager""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game2,James,False,"[22, 55]","[[""Villager""], [""Villager""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game2,Justin,False,"[27, 59]","[[""Troublemaker""], [""Troublemaker""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game2,Mitchell,True,"[21, 51]","[[""Villager""], [""Werewolf""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game3,Justin,False,"[28, 38]","[[""Villager""], [""Villager""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game4,Alvin,False,"[25, 27, 50, 78]","[[""Villager""], [""Villager""], [""Villager""], [""Villager""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game4,James,True,"[72, 80, 93, 112]","[[""Villager""], [""Villager""], [""Seer""], [""Seer""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game4,Mitchell,False,"[23, 69, 79]","[[""Villager""], [""Villager""], [""Villager""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game5,James,True,"[32, 53]","[[""Robber""], [""Hunter""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game5,Justin,False,"[30, 90]","[[""Villager""], [""Villager""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game5,Mitchell,False,"[41, 114]","[[""Seer""], [""Seer""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game6,Alvin,False,"[17, 35, 38, 54]","[[""Seer""], [""Seer""], [""Seer""], [""Seer""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game6,James,True,"[16, 30, 53, 90, 93, 96]","[[""Hunter""], [""Hunter""], [""Hunter""], [""Hunter""], [""Hunter""], [""Villager""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game6,Justin,False,"[21, 23]","[[""Robber""], [""Robber""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game7,Justin,False,"[36, 54]","[[""Seer""], [""Seer""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game8,Alvin,True,"[26, 89]","[[""Seer""], [""Robber""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game8,Justin,True,"[28, 75, 77, 92, 94]","[[""Robber""], [""Robber""], [""Villager""], [""Robber""], [""Robber""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game8,Mitchell,False,"[43, 103]","[[""Drunk""], [""Drunk""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game1,Justin,True,"[15, 40, 44, 47, 52, 56, 58, 94]","[[""Robber""], [""Werewolf""], [""Werewolf""], [""Werewolf""], [""Werewolf""], [""Werewolf""], [""Werewolf""], [""Werewolf""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game1,Mitchell,False,"[17, 19]","[[""Seer""], [""Seer""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game3,Mitchell,False,"[27, 50, 63]","[[""Robber""], [""Robber""], [""Robber""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game4,Mitchell,False,"[24, 42, 70]","[[""Villager""], [""Villager""], [""Villager""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game5,Justin,False,"[38, 63]","[[""Seer""], [""Seer""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game5,Mitchell,True,"[14, 110]","[[""Villager""], [""Robber""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game6,Dan,True,"[83, 114]","[[""Seer""], [""Tanner"", ""Werewolf""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game7,Dan,True,"[100, 110]","[[""Villager""], [""Seer""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game7,Justin,True,"[109, 111]","[[""Seer""], [""Robber""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game7,Mike,False,"[47, 50]","[[""Villager""], [""Villager""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game7,Mithcell,False,"[71, 86]","[[""Tanner""], [""Tanner""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game8,Justin,True,"[44, 91]","[[""Robber""], [""Tanner""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game2,Mike,False,"[52, 96]","[[""Villager""], [""Villager""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game2,Mitchell,False,"[78, 80, 98]","[[""Robber""], [""Robber""], [""Robber""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game4,James,False,"[39, 106]","[[""Villager""], [""Villager""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game5,James,False,"[29, 117]","[[""Insomniac""], [""Insomniac""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game5,Mitchell,True,"[60, 63, 79, 89, 102, 108, 110]","[[""Werewolf""], [""Werewolf""], [""Werewolf""], [""Werewolf""], [""Werewolf""], [""Tanner""], [""Tanner""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game6,James,False,"[35, 38, 40, 87]","[[""Troublemaker""], [""Troublemaker""], [""Troublemaker""], [""Troublemaker""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game6,Justin,True,"[39, 88, 98, 123]","[[""Troublemaker""], [""Troublemaker""], [""Troublemaker""], [""Tanner""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game6,Mitchell,True,"[93, 118]","[[""Tanner""], [""Robber""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game7,James,False,"[22, 50]","[[""Tanner""], [""Tanner""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game7,Justin,False,"[4, 39]","[[""Seer""], [""Seer""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game7,Mitchell,False,"[23, 43, 58, 71]","[[""Tanner""], [""Tanner""], [""Tanner""], [""Tanner""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game10,James,False,"[66, 71]","[[""Robber""], [""Robber""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game10,Mike,False,"[40, 65, 82]","[[""Seer""], [""Seer""], [""Seer""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game11,Caitlynn,True,"[46, 48, 92]","[[""Insomniac""], [""Minion""], [""Insomniac""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game11,Mike,True,"[18, 71, 73]","[[""Seer""], [""Werewolf""], [""Seer""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game11,Mitchell,False,"[14, 40, 54, 86]","[[""Insomniac"", ""Minion""], [""Minion""], [""Minion""], [""Minion""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game9,Caitlynn,False,"[33, 49]","[[""Drunk""], [""Drunk""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game9,James,True,"[31, 115, 124]","[[""Drunk""], [""Drunk""], [""Werewolf""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game9,Mike,False,"[36, 65, 72, 103]","[[""Seer""], [""Seer""], [""Seer""], [""Seer""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game2,Justin,True,"[33, 53, 72, 75, 77, 85, 91]","[[""Werewolf""], [""Robber""], [""Werewolf""], [""Werewolf""], [""Werewolf""], [""Werewolf""], [""Werewolf""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game2,Mitchell,True,"[31, 39, 78, 80, 82, 88, 94]","[[""Villager""], [""Villager""], [""Werewolf""], [""Werewolf""], [""Werewolf""], [""Werewolf""], [""Werewolf""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game2,Paul,False,"[43, 62]","[[""Troublemaker""], [""Troublemaker""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game3,Justin,False,"[20, 22, 56]","[[""Troublemaker""], [""Troublemaker""], [""Troublemaker""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game3,Mitchell,False,"[26, 51, 63, 75, 101]","[[""Seer""], [""Seer""], [""Seer""], [""Seer""], [""Seer""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game3,Paul,False,"[67, 86, 91, 94, 98]","[[""Werewolf""], [""Werewolf""], [""Werewolf""], [""Werewolf""], [""Werewolf""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game4,Justin,False,"[46, 51]","[[""Troublemaker""], [""Troublemaker""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game4,Mitchell,False,"[59, 68, 80]","[[""Insomniac""], [""Insomniac""], [""Insomniac""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game6,Paul,True,"[18, 36]","[[""Insomniac""], [""Werewolf""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game7,Justin,True,"[14, 49]","[[""Werewolf""], [""Insomniac""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game8,Mitchell,False,"[48, 63]","[[""Robber""], [""Robber""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through,Game1,Haak,False,"[36, 38, 82]","[[""Troublemaker""], [""Troublemaker""], [""Troublemaker""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through,Game1,Jordan,True,"[25, 53, 90, 101, 109, 147]","[[""Werewolf""], [""Robber""], [""Robber""], [""Robber""], [""Hunter"", ""Werewolf""], [""Robber""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through,Game1,Sarah,True,"[22, 106, 119]","[[""Seer""], [""Hunter""], [""Hunter""]]"
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through,Game2,Jordan,True,"[15, 17, 27, 29, 35, 55, 57, 68, 78]","[[""Seer""], [""Seer""], [""Robber""], [""Robber""], [""Robber""], [""Robber""], [""Robber""], [""Minion""], [""Seer""]]"
