source,session,game,role,players,line_numbers,n_players
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016,Game4,Insomniac,"[""Mike"", ""Mitchell""]","[16, 18, 20, 36, 51, 63, 66, 109]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016,Game4,Seer,"[""Alana"", ""Mike""]","[30, 39, 43, 51, 69]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019,Game1,Robber,"[""Mitchell"", ""Paul""]","[79, 118, 120, 125]",2
Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019,Game3,Werewolf,"[""James"", ""Mitchell""]","[54, 73]",2
Youtube,One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF,Game2,Troublemaker,"[""Justin"", ""Paul""]","[35, 85, 98, 127]",2
Youtube,One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF,Game3,Robber,"[""Justin"", ""Tyler""]","[27, 28]",2
Youtube,One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough,Game1,Seer,"[""Dan"", ""Ed""]","[80, 111, 184, 191, 199]",2
Youtube,One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough,Game1,Villager,"[""Audrey"", ""Brett"", ""Dan"", ""Ed"", ""Katie""]","[32, 33, 44, 45, 46, 49, 54, 87, 92, 93, 94, 101, 103, 108, 109, 112, 117, 119, 135, 138, 148, 149, 153, 158, 203, 209, 210]",5
Youtube,One#Night#Ultimate#Werewolf#2#The#Drunk,Game1,Seer,"[""Dylan"", ""Ed""]","[4, 22, 67, 134]",2
Youtube,One#Night#Ultimate#Werewolf#3#Insomniac,Game1,Drunk,"[""Brett"", ""Katie""]","[44, 47]",2
Youtube,One#Night#Ultimate#Werewolf#3#Insomniac,Game1,Insomniac,"[""Ed"", ""Katie""]","[72, 78, 81, 108, 109, 127]",2
Youtube,One#Night#Ultimate#Werewolf#3#Insomniac,Game1,Mason,"[""Brett"", ""Ed"", ""Katie""]","[78, 86, 104, 109, 127]",3
Youtube,One#Night#Ultimate#Werewolf#3#Insomniac,Game1,Villager,"[""Audrey"", ""Ed"", ""Katie""]","[18, 19, 20]",3
Youtube,One#Night#Ultimate#Werewolf#361#Classic#Werewolf,Game1,Drunk,"[""Katie"", ""Pete""]","[159, 161, 250]",2
Youtube,One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf,Game1,Drunk,"[""Dylan"", ""Katie"", ""Pete""]","[98, 150, 151, 251, 254]",3
Youtube,One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf,Game1,Mason,"[""Dylan"", ""Pete""]","[81, 88]",2
Youtube,One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf,Game1,Robber,"[""George"", ""Kelsey""]","[92, 187, 200]",2
Youtube,One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf,Game1,Troublemaker,"[""Brett"", ""George"", ""Kelsey"", ""Pete""]","[30, 42, 48, 49, 55, 111, 116, 177, 202]",4
Youtube,One#Night#Ultimate#Werewolf#363#Even#More#Classic#Werewolf,Game1,Drunk,"[""Dylan"", ""Kelsey""]","[98, 178, 189, 190, 223, 284]",2
Youtube,One#Night#Ultimate#Werewolf#363#Even#More#Classic#Werewolf,Game1,Robber,"[""George"", ""Pete""]","[100, 112, 197]",2
Youtube,One#Night#Ultimate#Werewolf#381#The#Hunt#Is#On,Game1,Insomniac,"[""Dustin"", ""Dylan""]","[103, 107, 109, 111, 115, 132]",2
Youtube,One#Night#Ultimate#Werewolf#381#The#Hunt#Is#On,Game1,Troublemaker,"[""Ed"", ""Katie""]","[30, 70]",2
Youtube,One#Night#Ultimate#Werewolf#382#Game#100!!,Game1,Doppelganger,"[""Dustin"", ""Katie""]","[55, 68, 90, 100]",2
Youtube,One#Night#Ultimate#Werewolf#382#Game#100!!,Game1,Seer,"[""Ed"", ""Katie"", ""Kelsey""]","[58, 80, 131]",3
Youtube,One#Night#Ultimate#Werewolf#491#Classic#Werewolf,Game1,Werewolf,"[""Brett"", ""Dustin"", ""Katie"", ""Pete""]","[30, 31, 49, 60, 127]",4
Youtube,One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf,Game1,Seer,"[""Brett"", ""Katie""]","[9, 13, 120, 153, 171]",2
Youtube,One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf,Game1,Tanner,"[""Katie"", ""Pete""]","[116, 175]",2
Youtube,One#Night#Ultimate#Werewolf#531#Classic#ONUW,Game1,Drunk,"[""Brett"", ""Ryan""]","[24, 32, 86]",2
Youtube,One#Night#Ultimate#Werewolf#532#More#Classic#ONUW,Game1,Robber,"[""Brett"", ""Ryan""]","[8, 10, 63]",2
Youtube,One#Night#Ultimate#Werewolf#532#More#Classic#ONUW,Game1,Werewolf,"[""DeAndre"", ""Katie""]","[22, 36, 38, 112]",2
Youtube,One#Night#Ultimate#Werewolf#533#Even#More#Classic#ONUW,Game1,Robber,"[""Katie"", ""Ryan""]","[33, 38, 72]",2
Youtube,One#Night#Ultimate#Werewolf#GAME#NIGHT!!,Game2,Villager,"[""Calvin"", ""Rick""]","[26, 28, 67, 69]",2
Youtube,Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7,Game2,Villager,"[""Mitchell"", ""Paul""]","[73, 83, 88, 93, 102]",2
Youtube,Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7,Game4,Tanner,"[""Mike"", ""Mitchell""]","[110, 122, 162]",2
Youtube,Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7,Game4,Troublemaker,"[""Mike"", ""Mitchell"", ""Paul""]","[6, 7, 8, 72, 168]",3
Youtube,Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7,Game4,Villager,"[""Eric"", ""Justin"", ""Mike"", ""Paul""]","[65, 106, 112, 136, 175]",4
Youtube,Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7,Game4,Werewolf,"[""Eric"", ""Paul""]","[40, 129]",2
Youtube,Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7,Game5,Werewolf,"[""Eric"", ""Mitchell""]","[171, 192, 198, 203, 204]",2
Youtube,The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF,Game7,Troublemaker,"[""Justin"", ""Paul""]","[56, 79]",2
Youtube,Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11,Game1,Robber,"[""Laura"", ""Mitchell""]","[29, 151, 152]",2
Youtube,Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11,Game1,Seer,"[""James"", ""Paul""]","[45, 74, 76, 97, 142, 149]",2
Youtube,Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11,Game2,Mason,"[""Laura"", ""Mitchell""]","[24, 26]",2
Youtube,Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11,Game3,Hunter,"[""Justin"", ""Mitchell""]","[35, 36, 112, 115]",2
Youtube,Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11,Game3,Insomniac,"[""Justin"", ""Mitchell""]","[35, 36]",2
Youtube,Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11,Game4,Insomniac,"[""Mitchell"", ""Paul""]","[55, 97]",2
Youtube,Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11,Game4,Mason,"[""Mitchell"", ""Paul""]","[32, 51, 89]",2
Youtube,Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11,Game4,Werewolf,"[""Mitchell"", ""Paul""]","[83, 90, 99, 101, 113]",2
Youtube,Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11,Game5,Hunter,"[""Justin"", ""Mitchell""]","[34, 99, 100, 101, 102, 149]",2
Youtube,Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11,Game5,Insomniac,"[""Justin"", ""Laura""]","[34, 107, 147]",2
Youtube,Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10,Game1,Werewolf,"[""Justin"", ""Laura""]","[102, 115, 116]",2
Youtube,Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10,Game2,Tanner,"[""James"", ""Justin""]","[31, 77, 105, 107, 170]",2
Youtube,Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10,Game4,Robber,"[""James"", ""Paul""]","[113, 129]",2
Youtube,Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10,Game4,Seer,"[""James"", ""Laura""]","[21, 89, 92, 98]",2
Youtube,Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10,Game5,Robber,"[""Justin"", ""Paul""]","[92, 127]",2
Youtube,Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8,Game1,Seer,"[""Justin"", ""Mitchell""]","[18, 35]",2
Youtube,Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8,Game2,Robber,"[""Eric"", ""Mike""]","[46, 47]",2
Youtube,Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8,Game3,Hunter,"[""Justin"", ""Mitchell""]","[61, 62]",2
Youtube,Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8,Game4,Seer,"[""Justin"", ""Paul""]","[63, 121]",2
Youtube,Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8,Game4,Tanner,"[""Eric"", ""Mitchell""]","[57, 124]",2
