game_id,run_1,run_2,run_3,greedy_t0,n_unique_votes,all_same,agreement_type,vote_pattern
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Elliot,Ashley,James,James,3,False,all_different,Elliot | Ashley | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,Dan,Dan,Mitchell,Justin,2,False,two_vs_one,Dan | Dan | Mitchell
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game10,Daniel,No Werewolf,No Werewolf,No Werewolf,2,False,two_vs_one,Daniel | No Werewolf | No Werewolf
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,Elliot,Elliot,James,Elliot,2,False,two_vs_one,Elliot | Elliot | James
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,Hunter,Hunter,No Werewolf,No Werewolf,2,False,two_vs_one,Hunter | Hunter | No Werewolf
Ego4D / 64076f60-f3fc-4ee6-93e1-3489d8ec7b12 / Game3,Jack,Jack,Hailey,No Werewolf,2,False,two_vs_one,Jack | Jack | Hailey
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,Jacob,Zack,Jacob,No Werewolf,2,False,two_vs_one,Jacob | Zack | Jacob
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game1,James,Elliot,James,Elliot,2,False,two_vs_one,James | Elliot | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,James,James,Mitchell,Justin,2,False,two_vs_one,James | James | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game5,James,Justin,James,James,2,False,two_vs_one,James | Justin | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game3,James,Justin,Justin,Justin,2,False,two_vs_one,James | Justin | Justin
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game5,James,Mitchell,James,Mitchell,2,False,two_vs_one,James | Mitchell | James
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game2,James,Mitchell,James,James,2,False,two_vs_one,James | Mitchell | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,Jordan2,Meryl,Jordan2,Jordan2,2,False,two_vs_one,Jordan2 | Meryl | Jordan2
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,Justin,Alvin,Justin,Justin,2,False,two_vs_one,Justin | Alvin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game7,Justin,Caitlynn,Justin,Justin,2,False,two_vs_one,Justin | Caitlynn | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,Justin,Justin,James,James,2,False,two_vs_one,Justin | Justin | James
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game1,Justin,Justin,Laura,Laura,2,False,two_vs_one,Justin | Justin | Laura
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,Justin,Justin,Paul,Paul,2,False,two_vs_one,Justin | Justin | Paul
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game1,Justin,Mike,Justin,Mike,2,False,two_vs_one,Justin | Mike | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019 / Game1,Justin,Mitchell,Justin,Justin,2,False,two_vs_one,Justin | Mitchell | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,Justin,Mitchell,Mitchell,Mitchell,2,False,two_vs_one,Justin | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game2,Justin,Paul,Justin,Paul,2,False,two_vs_one,Justin | Paul | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game2,Justin,Paul,Justin,Justin,2,False,two_vs_one,Justin | Paul | Justin
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game6,Justin,Paul,Paul,Justin,2,False,two_vs_one,Justin | Paul | Paul
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,Justin,Tyler,Justin,Justin,2,False,two_vs_one,Justin | Tyler | Justin
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game7,Kaelan,Kaelan,Jessica,Kaelan,2,False,two_vs_one,Kaelan | Kaelan | Jessica
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,Laura,Laura,Justin,Justin,2,False,two_vs_one,Laura | Laura | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game3,Meghan,Justin,Meghan,Meghan,2,False,two_vs_one,Meghan | Justin | Meghan
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game4,Mike,Alana,Alana,Alana,2,False,two_vs_one,Mike | Alana | Alana
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,Mike,James,James,James,2,False,two_vs_one,Mike | James | James
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game5,Mike,Mike,Eric,Mike,2,False,two_vs_one,Mike | Mike | Eric
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game2,Mike,Mike,Justin,Mike,2,False,two_vs_one,Mike | Mike | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,Mike,Mike,Mitchell,Mitchell,2,False,two_vs_one,Mike | Mike | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game3,Mike,Mike,Mitchell,Mike,2,False,two_vs_one,Mike | Mike | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game1,Mike,Mike,Paul,Mike,2,False,two_vs_one,Mike | Mike | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game2,Mike,Paul,Paul,Paul,2,False,two_vs_one,Mike | Paul | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game3,Mitchell,James,James,Mitchell,2,False,two_vs_one,Mitchell | James | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game5,Mitchell,Justin,Justin,Justin,2,False,two_vs_one,Mitchell | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game3,Mitchell,Justin,Mitchell,Justin,2,False,two_vs_one,Mitchell | Justin | Mitchell
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game3,Mitchell,Justin,Mitchell,Mike,2,False,two_vs_one,Mitchell | Justin | Mitchell
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game4,Mitchell,Mike,Mitchell,Mitchell,2,False,two_vs_one,Mitchell | Mike | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game3,Mitchell,Mitchell,James,James,2,False,two_vs_one,Mitchell | Mitchell | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game8,Mitchell,Mitchell,Justin,Justin,2,False,two_vs_one,Mitchell | Mitchell | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,Mitchell,Mitchell,Paul,Paul,2,False,two_vs_one,Mitchell | Mitchell | Paul
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game5,Mitchell,Paul,Paul,Mitchell,2,False,two_vs_one,Mitchell | Paul | Paul
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,No Werewolf,Erin,No Werewolf,Erin,2,False,two_vs_one,No Werewolf | Erin | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,No Werewolf,Justin,No Werewolf,No Werewolf,2,False,two_vs_one,No Werewolf | Justin | No Werewolf
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,No Werewolf,No Werewolf,Jessica,Jessica,2,False,two_vs_one,No Werewolf | No Werewolf | Jessica
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game9,No Werewolf,No Werewolf,Jessica,No Werewolf,2,False,two_vs_one,No Werewolf | No Werewolf | Jessica
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game3,No Werewolf,No Werewolf,Sean,Sean,2,False,two_vs_one,No Werewolf | No Werewolf | Sean
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,No Werewolf,No Werewolf,Sebastian,No Werewolf,2,False,two_vs_one,No Werewolf | No Werewolf | Sebastian
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game2,No Werewolf,Paul,Paul,Paul,2,False,two_vs_one,No Werewolf | Paul | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game4,Paul,James,Paul,James,2,False,two_vs_one,Paul | James | Paul
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game1,Paul,James,Paul,Paul,2,False,two_vs_one,Paul | James | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,Paul,Justin,Justin,Mitchell,2,False,two_vs_one,Paul | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game4,Paul,No Werewolf,Paul,Paul,2,False,two_vs_one,Paul | No Werewolf | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,Paul,Paul,Mitchell,Mitchell,2,False,two_vs_one,Paul | Paul | Mitchell
Youtube / One#Night#Ultimate#Werewolf#363#Even#More#Classic#Werewolf / Game1,Pete,Kelsey,Kelsey,Dylan,2,False,two_vs_one,Pete | Kelsey | Kelsey
Youtube / One#Night#Ultimate#Werewolf#491#Classic#Werewolf / Game1,Pete,Pete,Brett,Dustin,2,False,two_vs_one,Pete | Pete | Brett
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,Sean,Sean,Zack,Sean,2,False,two_vs_one,Sean | Sean | Zack
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,Sean,Zack,Sean,Zack,2,False,two_vs_one,Sean | Zack | Sean
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Sian,No Werewolf,Sian,Sian,2,False,two_vs_one,Sian | No Werewolf | Sian
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,Sian,Sukeshi,Sukeshi,Sukeshi,2,False,two_vs_one,Sian | Sukeshi | Sukeshi
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Sukeshi,Sukeshi,Ashley,Elliot,2,False,two_vs_one,Sukeshi | Sukeshi | Ashley
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,Tyler,Erin,Erin,Erin,2,False,two_vs_one,Tyler | Erin | Erin
