game_id,run_1,run_2,run_3,at_least_one_stochastic_correct,all_stochastic_correct
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,False,False,False,False,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,False,False,False,False,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game6,True,True,True,True,True
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game10,True,False,False,True,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,False,False,False,False,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,True,True,True,True,True
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game7,False,False,True,True,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,False,False,True,True,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game9,False,False,True,True,False
Ego4D / 64076f60-f3fc-4ee6-93e1-3489d8ec7b12 / Game3,False,False,False,False,False
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game1,False,True,False,True,False
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game2,True,True,True,True,True
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game3,False,True,False,True,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,False,False,False,False,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game2,False,False,False,False,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,False,False,False,False,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,False,False,False,False,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game5,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game1,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game10,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,True,False,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game5,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game7,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game8,True,True,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game9,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game1,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,True,False,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game3,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game4,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game5,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game7,False,True,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,True,True,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game2,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game3,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game4,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game5,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,False,False,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game7,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game4,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game5,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game6,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,False,False,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,True,False,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game5,False,True,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game7,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game8,True,False,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,True,False,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game2,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017 / Game1,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game3,True,False,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game1,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game2,False,True,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game2,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game3,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018 / Game2,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,True,False,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game4,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,True,True,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,False,False,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game3,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game4,True,False,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game1,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game4,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game4,False,True,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016 / Game1,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019 / Game3,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game1,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,True,True,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,True,False,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game2,False,True,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019 / Game1,False,True,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game3,True,False,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game4,True,False,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game5,False,True,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game1,True,False,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game2,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game3,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game4,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game1,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game4,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game2,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game3,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game1,False,False,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game3,False,False,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game4,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game1,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game2,False,True,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game2,True,True,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game3,True,True,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game1,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game2,False,False,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game3,True,True,False,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game4,False,False,False,False,False
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game2,True,True,True,True,True
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game3,True,True,True,True,True
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,True,True,True,True,True
Youtube / One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough / Game1,False,False,False,False,False
Youtube / One#Night#Ultimate#Werewolf#2#The#Drunk / Game1,False,False,False,False,False
Youtube / One#Night#Ultimate#Werewolf#3#Insomniac / Game1,True,True,True,True,True
Youtube / One#Night#Ultimate#Werewolf#361#Classic#Werewolf / Game1,True,True,True,True,True
Youtube / One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf / Game1,True,True,True,True,True
Youtube / One#Night#Ultimate#Werewolf#363#Even#More#Classic#Werewolf / Game1,False,False,False,False,False
Youtube / One#Night#Ultimate#Werewolf#381#The#Hunt#Is#On / Game1,False,False,False,False,False
Youtube / One#Night#Ultimate#Werewolf#382#Game#100!! / Game1,False,False,True,True,False
Youtube / One#Night#Ultimate#Werewolf#491#Classic#Werewolf / Game1,False,False,True,True,False
Youtube / One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf / Game1,False,True,False,True,False
Youtube / One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf / Game1,False,False,False,False,False
Youtube / One#Night#Ultimate#Werewolf#531#Classic#ONUW / Game1,False,False,False,False,False
Youtube / One#Night#Ultimate#Werewolf#532#More#Classic#ONUW / Game1,True,True,True,True,True
Youtube / One#Night#Ultimate#Werewolf#533#Even#More#Classic#ONUW / Game1,False,False,False,False,False
Youtube / One#Night#Ultimate#Werewolf#GAME#NIGHT!! / Game2,True,True,True,True,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game1,False,False,False,False,False
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game2,True,True,True,True,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game3,False,True,False,True,False
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game4,False,False,False,False,False
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game5,True,True,False,True,False
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game5,True,False,False,True,False
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game6,False,True,True,True,False
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,False,False,False,False,False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game1,False,False,False,False,False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game2,False,False,False,False,False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game3,True,True,True,True,True
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game4,True,True,True,True,True
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game5,False,True,False,True,False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game1,False,False,True,True,False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game2,False,False,False,False,False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game3,True,True,True,True,True
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game4,False,False,False,False,False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game5,True,True,True,True,True
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game1,True,True,True,True,True
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game2,False,False,False,False,False
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game3,True,True,True,True,True
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game4,False,False,False,False,False
