game_id,run_1,run_2,run_3,greedy_t0,n_unique_votes,all_same,agreement_type,vote_pattern
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Erin,Erin,Erin,Erin,1,True,unanimous,Erin | Erin | Erin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,Mike,Mitchell,James,James,3,False,all_different,Mike | Mitchell | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game4,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game5,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game6,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,Justin,Caitlynn,No Werewolf,Justin,3,False,all_different,Justin | Caitlynn | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,Paul,Paul,Paul,Paul,1,True,unanimous,Paul | Paul | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,No Werewolf,Justin,No Werewolf,No Werewolf,2,False,two_vs_one,No Werewolf | Justin | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game5,Mitchell,Justin,Justin,Justin,2,False,two_vs_one,Mitchell | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,Justin,Justin,Paul,Paul,2,False,two_vs_one,Justin | Justin | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game7,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game8,Paul,No Werewolf,Mitchell,Mitchell,3,False,all_different,Paul | No Werewolf | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,Jordan2,Meryl,Jordan2,Jordan2,2,False,two_vs_one,Jordan2 | Meryl | Jordan2
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,Haak,Haak,Haak,Jordan1,1,True,unanimous,Haak | Haak | Haak
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,Justin,Julie,No Werewolf,Mike,3,False,all_different,Justin | Julie | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,Caitlynn,Justin,Caitlynn,Justin,2,False,two_vs_one,Caitlynn | Justin | Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game2,Justin,Justin,Justin,Mike,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017 / Game1,Paul,Paul,Paul,Paul,1,True,unanimous,Paul | Paul | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,Meghan,Meghan,Meghan,Meghan,1,True,unanimous,Meghan | Meghan | Meghan
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game3,Meghan,Justin,Meghan,Meghan,2,False,two_vs_one,Meghan | Justin | Meghan
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game2,Mike,Paul,Paul,Paul,2,False,two_vs_one,Mike | Paul | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,Alysha,Alysha,Alysha,Alysha,1,True,unanimous,Alysha | Alysha | Alysha
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game2,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game3,Mitchell,Mitchell,Mitchell,Justin,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018 / Game2,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,Mike,James,James,James,2,False,two_vs_one,Mike | James | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game4,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,James,James,Mitchell,Justin,2,False,two_vs_one,James | James | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,Paul,Paul,Mitchell,Mitchell,2,False,two_vs_one,Paul | Paul | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,Paul,Paul,Paul,Paul,1,True,unanimous,Paul | Paul | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game3,Mitchell,Justin,Mitchell,Justin,2,False,two_vs_one,Mitchell | Justin | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game4,Paul,No Werewolf,Paul,Paul,2,False,two_vs_one,Paul | No Werewolf | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game1,Justin,Justin,Justin,No Werewolf,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,Justin,Justin,Justin,Mike,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,Paul,Justin,Justin,Mitchell,2,False,two_vs_one,Paul | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game4,Paul,Paul,Paul,Paul,1,True,unanimous,Paul | Paul | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,Mitchell,Mitchell,Paul,Paul,2,False,two_vs_one,Mitchell | Mitchell | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game4,Justin,Mike,No Werewolf,No Werewolf,3,False,all_different,Justin | Mike | No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,Mike,Mike,Mitchell,Mitchell,2,False,two_vs_one,Mike | Mike | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016 / Game1,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019 / Game3,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game1,Caitlynn,Caitlynn,Caitlynn,Caitlynn,1,True,unanimous,Caitlynn | Caitlynn | Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,Caitlynn,Caitlynn,Mitchell,Caitlynn,2,False,two_vs_one,Caitlynn | Caitlynn | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,Justin,Paul,Mitchell,Justin,3,False,all_different,Justin | Paul | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game2,Justin,Paul,Justin,Paul,2,False,two_vs_one,Justin | Paul | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019 / Game1,Justin,Mitchell,Justin,Justin,2,False,two_vs_one,Justin | Mitchell | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game3,James,Justin,Justin,Justin,2,False,two_vs_one,James | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game4,Paul,James,Paul,James,2,False,two_vs_one,Paul | James | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game5,James,Justin,James,James,2,False,two_vs_one,James | Justin | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game1,Alana,Caitlynn,Caitlynn,No Werewolf,2,False,two_vs_one,Alana | Caitlynn | Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game2,Caitlynn,Caitlynn,Caitlynn,Caitlynn,1,True,unanimous,Caitlynn | Caitlynn | Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game3,Mike,No Werewolf,Alana,No Werewolf,3,False,all_different,Mike | No Werewolf | Alana
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game4,Caitlynn,Caitlynn,Caitlynn,Caitlynn,1,True,unanimous,Caitlynn | Caitlynn | Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game4,Mike,Alana,Alana,Alana,2,False,two_vs_one,Mike | Alana | Alana
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game2,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game3,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game1,Mike,Mike,Paul,Mike,2,False,two_vs_one,Mike | Mike | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game3,Mitchell,Justin,Paul,Justin,3,False,all_different,Mitchell | Justin | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game4,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game1,Paul,Paul,Paul,Mitchell,1,True,unanimous,Paul | Paul | Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game2,Justin,Paul,Justin,Justin,2,False,two_vs_one,Justin | Paul | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game2,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game3,Mitchell,Mitchell,James,James,2,False,two_vs_one,Mitchell | Mitchell | James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game1,Mitchell,Mitchell,Mitchell,No Werewolf,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game2,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game3,Mike,Mike,Mitchell,Mike,2,False,two_vs_one,Mike | Mike | Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game4,Caitlynn,No Werewolf,Caitlynn,Caitlynn,2,False,two_vs_one,Caitlynn | No Werewolf | Caitlynn
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game2,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game3,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin
Youtube / One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough / Game1,Dylan,Dylan,Dylan,Dan,1,True,unanimous,Dylan | Dylan | Dylan
Youtube / One#Night#Ultimate#Werewolf#2#The#Drunk / Game1,Audrey,Audrey,Dylan,Audrey,2,False,two_vs_one,Audrey | Audrey | Dylan
Youtube / One#Night#Ultimate#Werewolf#3#Insomniac / Game1,Brett,Brett,Brett,Brett,1,True,unanimous,Brett | Brett | Brett
Youtube / One#Night#Ultimate#Werewolf#361#Classic#Werewolf / Game1,Dylan,Dylan,Dylan,Dylan,1,True,unanimous,Dylan | Dylan | Dylan
Youtube / One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf / Game1,Pete,Pete,Pete,Pete,1,True,unanimous,Pete | Pete | Pete
