game_id,run_1,run_2,run_3,greedy_t0,stochastic_majority_vote,has_stochastic_majority,stochastic_majority_correct,agreement_type,greedy_vote,greedy_in_stochastic_vote_set,greedy_matches_stochastic_majority,greedy_correct
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game7,Kaelan,Kaelan,Jessica,Kaelan,Kaelan,True,False,two_vs_one,Kaelan,True,True,False
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,Jessica,Kevin,No Werewolf,No Werewolf,,False,,all_different,No Werewolf,True,False,True
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game9,No Werewolf,No Werewolf,Jessica,No Werewolf,No Werewolf,True,False,two_vs_one,No Werewolf,True,True,False
Ego4D / 64076f60-f3fc-4ee6-93e1-3489d8ec7b12 / Game3,Jack,Jack,Hailey,No Werewolf,Jack,True,False,two_vs_one,No Werewolf,False,False,False
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game1,James,Elliot,James,Elliot,James,True,False,two_vs_one,Elliot,True,False,True
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game2,Sukeshi,Sukeshi,Sukeshi,Sukeshi,Sukeshi,True,True,unanimous,Sukeshi,True,True,True
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game3,Sukeshi,James,Chris,James,,False,,all_different,James,True,False,True
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,False,unanimous,Mitchell,True,True,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game2,Paul,Paul,Paul,James,Paul,True,False,unanimous,James,False,False,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,James,James,James,James,James,True,False,unanimous,James,True,True,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,Laura,Laura,Justin,Justin,Laura,True,False,two_vs_one,Justin,True,False,False
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game5,Laura,Laura,Laura,Justin,Laura,True,True,unanimous,Justin,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,True,unanimous,Mitchell,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game10,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,Justin,Mitchell,Mitchell,Mitchell,Mitchell,True,False,two_vs_one,Mitchell,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,Justin,Alvin,Justin,Justin,Justin,True,False,two_vs_one,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,Justin,Justin,James,James,Justin,True,False,two_vs_one,James,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game5,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,True,unanimous,Mitchell,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,Justin,Justin,Justin,Justin,Justin,True,True,unanimous,Justin,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game7,James,James,James,James,James,True,True,unanimous,James,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game8,Mitchell,Mitchell,Justin,Justin,Mitchell,True,True,two_vs_one,Justin,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game9,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,True,unanimous,Mitchell,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game1,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,No Werewolf,Mitchell,Justin,No Werewolf,,False,,all_different,No Werewolf,True,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game3,Justin,Justin,Justin,Justin,Justin,True,True,unanimous,Justin,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game4,Mike,Mike,Mike,Mike,Mike,True,True,unanimous,Mike,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game5,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,Dan,Dan,Mitchell,Justin,Dan,True,False,two_vs_one,Justin,False,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game7,Justin,Caitlynn,Justin,Justin,Justin,True,False,two_vs_one,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,Dan,Dan,Justin,Dan,Dan,True,True,two_vs_one,Dan,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game2,Mike,Mike,Mike,Mike,Mike,True,False,unanimous,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game3,Mitchell,James,James,Mitchell,James,True,False,two_vs_one,Mitchell,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game4,Mike,Mike,Mike,Mike,Mike,True,True,unanimous,Mike,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game5,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,False,unanimous,Mitchell,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,Justin,Mitchell,Mike,Mike,,False,,all_different,Mike,True,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game7,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,True,unanimous,Mitchell,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,Mike,Mitchell,James,James,,False,,all_different,James,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,False,unanimous,Mitchell,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,Justin,Justin,Justin,Justin,Justin,True,True,unanimous,Justin,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,True,unanimous,Mitchell,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game4,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,False,unanimous,Mitchell,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game5,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game6,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,False,unanimous,Mitchell,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,Justin,Caitlynn,No Werewolf,Justin,,False,,all_different,Justin,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,False,unanimous,Mitchell,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,Paul,Paul,Paul,Paul,Paul,True,True,unanimous,Paul,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,No Werewolf,Justin,No Werewolf,No Werewolf,No Werewolf,True,True,two_vs_one,No Werewolf,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game5,Mitchell,Justin,Justin,Justin,Justin,True,True,two_vs_one,Justin,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,Justin,Justin,Paul,Paul,Justin,True,True,two_vs_one,Paul,True,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game7,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game8,Paul,No Werewolf,Mitchell,Mitchell,,False,,all_different,Mitchell,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,Jordan2,Meryl,Jordan2,Jordan2,Jordan2,True,False,two_vs_one,Jordan2,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,Haak,Haak,Haak,Jordan1,Haak,True,False,unanimous,Jordan1,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,Mike,Mike,Mike,Mike,Mike,True,False,unanimous,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,False,unanimous,Mitchell,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,Justin,Julie,No Werewolf,Mike,,False,,all_different,Mike,False,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,True,unanimous,Mitchell,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,Caitlynn,Justin,Caitlynn,Justin,Caitlynn,True,True,two_vs_one,Justin,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game2,Justin,Justin,Justin,Mike,Justin,True,True,unanimous,Mike,False,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017 / Game1,Paul,Paul,Paul,Paul,Paul,True,False,unanimous,Paul,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,Meghan,Meghan,Meghan,Meghan,Meghan,True,True,unanimous,Meghan,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game3,Meghan,Justin,Meghan,Meghan,Meghan,True,True,two_vs_one,Meghan,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,True,unanimous,Mitchell,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,Mike,Mike,Mike,Mike,Mike,True,False,unanimous,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game2,Mike,Paul,Paul,Paul,Paul,True,True,two_vs_one,Paul,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,Alysha,Alysha,Alysha,Alysha,Alysha,True,False,unanimous,Alysha,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game2,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,False,unanimous,Mitchell,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game3,Mitchell,Mitchell,Mitchell,Justin,Mitchell,True,True,unanimous,Justin,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018 / Game2,Mike,Mike,Mike,Mike,Mike,True,False,unanimous,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,Mike,James,James,James,James,True,False,two_vs_one,James,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game4,Mike,Mike,Mike,Mike,Mike,True,False,unanimous,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,James,James,Mitchell,Justin,James,True,True,two_vs_one,Justin,False,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,Justin,Justin,Justin,Justin,Justin,True,True,unanimous,Justin,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,Paul,Paul,Mitchell,Mitchell,Paul,True,False,two_vs_one,Mitchell,True,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,Paul,Paul,Paul,Paul,Paul,True,False,unanimous,Paul,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,True,unanimous,Mitchell,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game3,Mitchell,Justin,Mitchell,Justin,Mitchell,True,False,two_vs_one,Justin,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game4,Paul,No Werewolf,Paul,Paul,Paul,True,True,two_vs_one,Paul,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game1,Justin,Justin,Justin,No Werewolf,Justin,True,True,unanimous,No Werewolf,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,Justin,Justin,Justin,Mike,Justin,True,True,unanimous,Mike,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,Paul,Justin,Justin,Mitchell,Justin,True,False,two_vs_one,Mitchell,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game4,Paul,Paul,Paul,Paul,Paul,True,False,unanimous,Paul,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,Mitchell,Mitchell,Paul,Paul,Mitchell,True,False,two_vs_one,Paul,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game4,Justin,Mike,No Werewolf,No Werewolf,,False,,all_different,No Werewolf,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,Mike,Mike,Mitchell,Mitchell,Mike,True,False,two_vs_one,Mitchell,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016 / Game1,Mike,Mike,Mike,Mike,Mike,True,False,unanimous,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019 / Game3,Justin,Justin,Justin,Justin,Justin,True,True,unanimous,Justin,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game1,Caitlynn,Caitlynn,Caitlynn,Caitlynn,Caitlynn,True,False,unanimous,Caitlynn,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,Caitlynn,Caitlynn,Mitchell,Caitlynn,Caitlynn,True,True,two_vs_one,Caitlynn,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,Justin,Paul,Mitchell,Justin,,False,,all_different,Justin,True,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game2,Justin,Paul,Justin,Paul,Justin,True,False,two_vs_one,Paul,True,False,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019 / Game1,Justin,Mitchell,Justin,Justin,Justin,True,False,two_vs_one,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game3,James,Justin,Justin,Justin,Justin,True,False,two_vs_one,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game4,Paul,James,Paul,James,Paul,True,True,two_vs_one,James,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game5,James,Justin,James,James,James,True,False,two_vs_one,James,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game1,Alana,Caitlynn,Caitlynn,No Werewolf,Caitlynn,True,False,two_vs_one,No Werewolf,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game2,Caitlynn,Caitlynn,Caitlynn,Caitlynn,Caitlynn,True,False,unanimous,Caitlynn,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game3,Mike,No Werewolf,Alana,No Werewolf,,False,,all_different,No Werewolf,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game4,Caitlynn,Caitlynn,Caitlynn,Caitlynn,Caitlynn,True,True,unanimous,Caitlynn,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,False,unanimous,Mitchell,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game4,Mike,Alana,Alana,Alana,Alana,True,False,two_vs_one,Alana,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game2,Mike,Mike,Mike,Mike,Mike,True,False,unanimous,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game3,Mike,Mike,Mike,Mike,Mike,True,False,unanimous,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game1,Mike,Mike,Paul,Mike,Mike,True,False,two_vs_one,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game3,Mitchell,Justin,Paul,Justin,,False,,all_different,Justin,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game4,Mike,Mike,Mike,Mike,Mike,True,True,unanimous,Mike,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game1,Paul,Paul,Paul,Mitchell,Paul,True,True,unanimous,Mitchell,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game2,Justin,Paul,Justin,Justin,Justin,True,False,two_vs_one,Justin,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game2,Justin,Justin,Justin,Justin,Justin,True,True,unanimous,Justin,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game3,Mitchell,Mitchell,James,James,Mitchell,True,True,two_vs_one,James,True,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game1,Mitchell,Mitchell,Mitchell,No Werewolf,Mitchell,True,False,unanimous,No Werewolf,False,False,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game2,Mike,Mike,Mike,Mike,Mike,True,False,unanimous,Mike,True,True,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game3,Mike,Mike,Mitchell,Mike,Mike,True,True,two_vs_one,Mike,True,True,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game4,Caitlynn,No Werewolf,Caitlynn,Caitlynn,Caitlynn,True,False,two_vs_one,Caitlynn,True,True,False
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game2,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,True,unanimous,Mitchell,True,True,True
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game3,Justin,Justin,Justin,Justin,Justin,True,True,unanimous,Justin,True,True,True
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,Justin,Justin,Justin,Justin,Justin,True,True,unanimous,Justin,True,True,True
Youtube / One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough / Game1,Dylan,Dylan,Dylan,Dan,Dylan,True,False,unanimous,Dan,False,False,True
Youtube / One#Night#Ultimate#Werewolf#2#The#Drunk / Game1,Audrey,Audrey,Dylan,Audrey,Audrey,True,False,two_vs_one,Audrey,True,True,False
Youtube / One#Night#Ultimate#Werewolf#3#Insomniac / Game1,Brett,Brett,Brett,Brett,Brett,True,True,unanimous,Brett,True,True,True
