game_id,game_name,source,session_name,game_key,processed_txt_path,num_players,num_turns,num_unparsed_lines,num_dropped_lines,player_names,start_roles,end_roles,has_werewolf,n_werewolves,correct_player_indices,correct_player_names,correct_vote_type,voting_outcome,human_vote_available,human_vote_type,human_target_indices,human_target_names,human_vote_counts,n_missing_human_votes,warning
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game2,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game2.txt,4,92,0,0,"[""Justin"", ""Alvin"", ""James"", ""Mitchell""]","[""Werewolf"", ""Robber"", ""Villager"", ""Villager""]","[""Werewolf"", ""Villager"", ""Robber"", ""Villager""]",True,1,[0],"[""Justin""]",player,"[2, 2, 0, 2]",True,player,[2],"[""James""]","{""2"": 3, ""0"": 1}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game3,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game3.txt,4,90,0,0,"[""Justin"", ""Alvin"", ""James"", ""Mitchell""]","[""Werewolf"", ""Seer"", ""Villager"", ""Robber""]","[""Robber"", ""Seer"", ""Villager"", ""Werewolf""]",True,1,[3],"[""Mitchell""]",player,"[2, 0, 0, 0]",True,player,[0],"[""Justin""]","{""2"": 1, ""0"": 3}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game4,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game4,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game4.txt,4,137,0,0,"[""Justin"", ""Alvin"", ""James"", ""Mitchell""]","[""Werewolf"", ""Seer"", ""Villager"", ""Robber""]","[""Robber"", ""Seer"", ""Villager"", ""Werewolf""]",True,1,[3],"[""Mitchell""]",player,"[3, 2, 3, 2]",True,player,"[3, 2]","[""Mitchell"", ""James""]","{""3"": 2, ""2"": 2}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game5,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game5,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game5,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game5.txt,4,130,0,0,"[""Justin"", ""Alvin"", ""James"", ""Mitchell""]","[""Villager"", ""Werewolf"", ""Villager"", ""Robber""]","[""Villager"", ""Robber"", ""Villager"", ""Werewolf""]",True,1,[3],"[""Mitchell""]",player,"[3, 3, 3, 2]",True,player,[3],"[""Mitchell""]","{""3"": 3, ""2"": 1}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game6,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game6,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game6.txt,4,118,0,0,"[""Justin"", ""Alvin"", ""James"", ""Mitchell""]","[""Robber"", ""Seer"", ""Hunter"", ""Werewolf""]","[""Werewolf"", ""Seer"", ""Hunter"", ""Robber""]",True,1,[0],"[""Justin""]",player,"[1, 0, 0, 0]",True,player,[0],"[""Justin""]","{""1"": 1, ""0"": 3}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game7,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game7,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game7,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game7.txt,4,100,0,0,"[""Justin"", ""Alvin"", ""James"", ""Mitchell""]","[""Seer"", ""Robber"", ""Werewolf"", ""Drunk""]","[""Seer"", ""Drunk"", ""Werewolf"", ""Werewolf""]",True,2,"[2, 3]","[""James"", ""Mitchell""]",player,"[2, 2, 3, 0]",True,player,[2],"[""James""]","{""2"": 2, ""3"": 1, ""0"": 1}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game8,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game8,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game8,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game8.txt,4,109,0,0,"[""Justin"", ""Alvin"", ""James"", ""Mitchell""]","[""Robber"", ""Werewolf"", ""Villager"", ""Werewolf""]","[""Villager"", ""Werewolf"", ""Robber"", ""Werewolf""]",True,2,"[1, 3]","[""Alvin"", ""Mitchell""]",player,"[1, 0, 0, 0]",True,player,[0],"[""Justin""]","{""1"": 1, ""0"": 3}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game9,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game9,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game9,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1_Game9.txt,4,119,0,0,"[""Justin"", ""Alvin"", ""James"", ""Mitchell""]","[""Seer"", ""Villager"", ""Robber"", ""Werewolf""]","[""Seer"", ""Robber"", ""Villager"", ""Werewolf""]",True,1,[3],"[""Mitchell""]",player,"[3, 0, 3, 0]",True,player,"[3, 0]","[""Mitchell"", ""Justin""]","{""3"": 2, ""0"": 2}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game1,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2_Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game1,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2_Game1.txt,5,109,0,0,"[""Justin"", ""Dan"", ""Mitchell"", ""Caitlynn"", ""Mike""]","[""Werewolf"", ""Troublemaker"", ""Seer"", ""Villager"", ""Villager""]","[""Villager"", ""Troublemaker"", ""Seer"", ""Werewolf"", ""Villager""]",True,1,[3],"[""Caitlynn""]",player,"[3, 3, 3, 0, 3]",True,player,[3],"[""Caitlynn""]","{""3"": 4, ""0"": 1}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2_Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game2,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2_Game2.txt,5,67,0,0,"[""Justin"", ""Dan"", ""Mitchell"", ""Caitlynn"", ""Mike""]","[""Seer"", ""Villager"", ""Villager"", ""Robber"", ""Troublemaker""]","[""Villager"", ""Seer"", ""Robber"", ""Villager"", ""Troublemaker""]",False,0,[],[],circle,"[1, 2, 3, 4, 0]",True,circle,[],[],"{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""0"": 1}",0,"[""No 'Werewolf' role in end roles""]"
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game3,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2_Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game3,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2_Game3.txt,5,66,0,0,"[""Justin"", ""Dan"", ""Mitchell"", ""Caitlynn"", ""Mike""]","[""Werewolf"", ""Villager"", ""Robber"", ""Villager"", ""Troublemaker""]","[""Werewolf"", ""Villager"", ""Robber"", ""Villager"", ""Troublemaker""]",True,1,[0],"[""Justin""]",player,"[1, 0, 0, 0, 0]",True,player,[0],"[""Justin""]","{""1"": 1, ""0"": 4}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game4,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2_Game4,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game4,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2_Game4.txt,5,97,0,0,"[""Justin"", ""Dan"", ""Mitchell"", ""Caitlynn"", ""Mike""]","[""Robber"", ""Seer"", ""Villager"", ""Villager"", ""Werewolf""]","[""Villager"", ""Seer"", ""Villager"", ""Robber"", ""Werewolf""]",True,1,[4],"[""Mike""]",player,"[4, 4, 4, 4, 1]",True,player,[4],"[""Mike""]","{""4"": 4, ""1"": 1}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game5,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2_Game5,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game5,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2_Game5.txt,5,122,0,0,"[""Justin"", ""Dan"", ""Mitchell"", ""Caitlynn"", ""Mike""]","[""Seer"", ""Robber"", ""Tanner"", ""Werewolf"", ""Troublemaker""]","[""Robber"", ""Tanner"", ""Seer"", ""Werewolf"", ""Troublemaker""]",True,1,[3],"[""Caitlynn""]",player,"[2, 4, 3, 0, 0]",True,player,[0],"[""Justin""]","{""2"": 1, ""4"": 1, ""3"": 1, ""0"": 2}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2_Game6,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game6,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2_Game6.txt,5,159,0,0,"[""Justin"", ""Dan"", ""Mitchell"", ""Caitlynn"", ""Mike""]","[""Tanner"", ""Seer"", ""Werewolf"", ""Troublemaker"", ""Werewolf""]","[""Werewolf"", ""Seer"", ""Tanner"", ""Troublemaker"", ""Werewolf""]",True,2,"[0, 4]","[""Justin"", ""Mike""]",player,"[2, 0, 4, 0, 2]",True,player,"[2, 0]","[""Mitchell"", ""Justin""]","{""2"": 2, ""0"": 2, ""4"": 1}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game7,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2_Game7,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game7,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2_Game7.txt,5,117,0,0,"[""Justin"", ""Dan"", ""Mitchell"", ""Caitlynn"", ""Mike""]","[""Robber"", ""Seer"", ""Werewolf"", ""Werewolf"", ""Villager""]","[""Seer"", ""Robber"", ""Werewolf"", ""Werewolf"", ""Villager""]",True,2,"[2, 3]","[""Mitchell"", ""Caitlynn""]",player,"[1, 3, 0, 0, 3]",True,player,"[3, 0]","[""Caitlynn"", ""Justin""]","{""1"": 1, ""3"": 2, ""0"": 2}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2_Game8,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game8,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2_Game8.txt,5,126,0,0,"[""Justin"", ""Dan"", ""Mitchell"", ""Caitlynn"", ""Mike""]","[""Drunk"", ""Werewolf"", ""Robber"", ""Tanner"", ""Villager""]","[""Seer"", ""Werewolf"", ""Robber"", ""Tanner"", ""Villager""]",True,1,[1],"[""Dan""]",player,"[4, 2, 3, 0, 0]",True,player,[0],"[""Justin""]","{""4"": 1, ""2"": 1, ""3"": 1, ""0"": 2}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game2,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3_Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game2,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3_Game2.txt,4,105,0,0,"[""Justin"", ""Mike"", ""James"", ""Mitchell""]","[""Villager"", ""Villager"", ""Werewolf"", ""Robber""]","[""Villager"", ""Villager"", ""Robber"", ""Werewolf""]",True,1,[3],"[""Mitchell""]",player,"[1, 0, 1, 1]",True,player,[1],"[""Mike""]","{""1"": 3, ""0"": 1}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game3,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3_Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game3,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3_Game3.txt,4,51,0,0,"[""Justin"", ""Mike"", ""James"", ""Mitchell""]","[""Villager"", ""Robber"", ""Villager"", ""Seer""]","[""Villager"", ""Seer"", ""Villager"", ""Robber""]",False,0,[],[],circle,"[1, 2, 3, 0]",True,circle,[],[],"{""1"": 1, ""2"": 1, ""3"": 1, ""0"": 1}",0,"[""No 'Werewolf' role in end roles""]"
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game4,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3_Game4,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game4,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3_Game4.txt,4,126,0,0,"[""Justin"", ""Mike"", ""James"", ""Mitchell""]","[""Insomniac"", ""Werewolf"", ""Villager"", ""Tanner""]","[""Insomniac"", ""Werewolf"", ""Villager"", ""Tanner""]",True,1,[1],"[""Mike""]",player,"[3, 0, 3, 1]",True,player,[3],"[""Mitchell""]","{""3"": 2, ""0"": 1, ""1"": 1}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game5,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3_Game5,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game5,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3_Game5.txt,4,141,0,0,"[""Justin"", ""Mike"", ""James"", ""Mitchell""]","[""Troublemaker"", ""Werewolf"", ""Insomniac"", ""Tanner""]","[""Troublemaker"", ""Werewolf"", ""Villager"", ""Insomniac""]",True,1,[1],"[""Mike""]",player,"[3, 3, 3, 0]",True,player,[3],"[""Mitchell""]","{""3"": 3, ""0"": 1}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3_Game6,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game6,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3_Game6.txt,4,128,0,0,"[""Justin"", ""Mike"", ""James"", ""Mitchell""]","[""Tanner"", ""Werewolf"", ""Troublemaker"", ""Insomniac""]","[""Insomniac"", ""Werewolf"", ""Troublemaker"", ""Tanner""]",True,1,[1],"[""Mike""]",player,"[1, 2, 0, 1]",True,player,[1],"[""Mike""]","{""1"": 2, ""2"": 1, ""0"": 1}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game7,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3_Game7,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game7,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3_Game7.txt,4,74,0,0,"[""Justin"", ""Mike"", ""James"", ""Mitchell""]","[""Seer"", ""Troublemaker"", ""Tanner"", ""Werewolf""]","[""Tanner"", ""Troublemaker"", ""Seer"", ""Werewolf""]",True,1,[3],"[""Mitchell""]",player,"[3, 3, 3, 1]",True,player,[3],"[""Mitchell""]","{""3"": 3, ""1"": 1}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3_Game8,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game8,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3_Game8.txt,4,67,0,0,"[""Justin"", ""Mike"", ""James"", ""Mitchell""]","[""Troublemaker"", ""Tanner"", ""Seer"", ""Insomniac""]","[""Troublemaker"", ""Insomniac"", ""Seer"", ""Tanner""]",False,0,[],[],circle,"[1, 2, 3, 0]",True,circle,[],[],"{""1"": 1, ""2"": 1, ""3"": 1, ""0"": 1}",0,"[""No 'Werewolf' role in end roles""]"
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4_Game10,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game10,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4_Game10.txt,5,133,0,0,"[""Justin"", ""Caitlynn"", ""Mike"", ""James"", ""Mitchell""]","[""Werewolf"", ""Troublemaker"", ""Seer"", ""Werewolf"", ""Drunk""]","[""Werewolf"", ""Troublemaker"", ""Werewolf"", ""Seer"", ""Robber""]",True,2,"[0, 2]","[""Justin"", ""Mike""]",player,"[4, 4, 4, 4, 4]",True,player,[4],"[""Mitchell""]","{""4"": 5}",0,[]
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4_Game11,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game11,data/processed/lai2023/onuw_transcripts_ready/Youtube/ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4_Game11.txt,5,104,0,0,"[""Justin"", ""Caitlynn"", ""Mike"", ""James"", ""Mitchell""]","[""Werewolf"", ""Insomniac"", ""Drunk"", ""Troublemaker"", ""Minion""]","[""Werewolf"", ""Minion"", ""Robber"", ""Troublemaker"", ""Insomniac""]",True,1,[0],"[""Justin""]",player,"[1, 0, 0, 0, 0]",True,player,[0],"[""Justin""]","{""1"": 1, ""0"": 4}",0,[]
