key,source,session,game,voter,raw_vote,start_role,reason
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game4')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game4,Kaelan,NA,Seer,no_vote_recorded
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game4')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game4,Jessica,NA,Robber,no_vote_recorded
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game4')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game4,Daniel,NA,Minion,no_vote_recorded
"('Ego4D', '62c4bc58-3776-4791-ac30-4c9ca5619503', 'game10')",Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game10,Kevin,NA,Minion,no_vote_recorded
"('Ego4D', '62c4bc58-3776-4791-ac30-4c9ca5619503', 'game10')",Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game10,Kaelan,NA,Villager,no_vote_recorded
"('Ego4D', '62c4bc58-3776-4791-ac30-4c9ca5619503', 'game10')",Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game10,Jessica,NA,Villager,no_vote_recorded
"('Ego4D', '62c4bc58-3776-4791-ac30-4c9ca5619503', 'game10')",Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game10,Daniel,NA,Werewolf,no_vote_recorded
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game5')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game5,Jessica,NA,Tanner,no_vote_recorded
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game5')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game5,Daniel,4,Robber,vote_index_out_of_range
"('Ego4D', '324bccd2-adff-4e9a-8ff4-03491e144ac3', 'game1')",Ego4D,324bccd2-adff-4e9a-8ff4-03491e144ac3,game1,Sean,1,Werewolf,self_vote
"('Ego4D', '2ba4023c-a8bf-43ad-ad5a-80ba222ce990', 'game10')",Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,game10,Erin,2,Werewolf,self_vote
"('Ego4D', '2ba4023c-a8bf-43ad-ad5a-80ba222ce990', 'game10')",Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,game10,Clint,3,Robber,self_vote
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game6')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game6,Kevin,NA,Doppleganger,no_vote_recorded
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game6')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game6,Kaelan,1,Robber,self_vote
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game6')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game6,Jessica,NA,Insomniac,no_vote_recorded
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game6')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game6,Daniel,NA,Drunk,no_vote_recorded
"('Ego4D', '62c4bc58-3776-4791-ac30-4c9ca5619503', 'game11')",Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game11,Kaelan,1,Villager,self_vote
"('Ego4D', '62c4bc58-3776-4791-ac30-4c9ca5619503', 'game11')",Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game11,Jessica,NA,Minion,no_vote_recorded
"('Ego4D', '62c4bc58-3776-4791-ac30-4c9ca5619503', 'game11')",Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game11,Daniel,NA,Werewolf,no_vote_recorded
"('Ego4D', '1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce', 'game11')",Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,game11,Jacob,3,Drunk,self_vote
"('Ego4D', '2ba4023c-a8bf-43ad-ad5a-80ba222ce990', 'game9')",Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,game9,Clint,3,Hunter,self_vote
"('Ego4D', '0c2659db-7bd4-4b37-9b08-4e247befe382', 'game9')",Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,game9,Elliot,0,Villager,self_vote
"('Ego4D', '0c2659db-7bd4-4b37-9b08-4e247befe382', 'game9')",Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,game9,Chris,3,Werewolf,self_vote
"('Ego4D', '0c2659db-7bd4-4b37-9b08-4e247befe382', 'game4')",Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,game4,Elliot,0,Robber,self_vote
"('Ego4D', '0c2659db-7bd4-4b37-9b08-4e247befe382', 'game4')",Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,game4,Ashley,1,Werewolf,self_vote
"('Ego4D', '62c4bc58-3776-4791-ac30-4c9ca5619503', 'game7')",Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game7,Jessica,NA,Werewolf,no_vote_recorded
"('Ego4D', '62c4bc58-3776-4791-ac30-4c9ca5619503', 'game7')",Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game7,Daniel,3,Werewolf,self_vote
"('Ego4D', '1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce', 'game6')",Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,game6,Sean,1,Villager,self_vote
"('Ego4D', '2ba4023c-a8bf-43ad-ad5a-80ba222ce990', 'game7')",Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,game7,Erin,2,Drunk,self_vote
"('Ego4D', '2ba4023c-a8bf-43ad-ad5a-80ba222ce990', 'game7')",Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,game7,Clint,3,Werewolf,self_vote
"('Ego4D', '62c4bc58-3776-4791-ac30-4c9ca5619503', 'game8')",Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game8,Kevin,NA,Seer,no_vote_recorded
"('Ego4D', '62c4bc58-3776-4791-ac30-4c9ca5619503', 'game8')",Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game8,Jessica,NA,Minion,no_vote_recorded
"('Ego4D', '62c4bc58-3776-4791-ac30-4c9ca5619503', 'game8')",Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game8,Daniel,3,Drunk,self_vote
"('Ego4D', '0c2659db-7bd4-4b37-9b08-4e247befe382', 'game8')",Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,game8,Ashley,1,Robber,self_vote
"('Ego4D', '0c2659db-7bd4-4b37-9b08-4e247befe382', 'game6')",Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,game6,Sukeshi,4,Robber,self_vote
"('Ego4D', '1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce', 'game10')",Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,game10,Zack,0,Werewolf,self_vote
"('Ego4D', '0c2659db-7bd4-4b37-9b08-4e247befe382', 'game5')",Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,game5,Elliot,0,Seer,self_vote
"('Ego4D', '1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce', 'game8')",Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,game8,Jacob,3,Villager,self_vote
"('Ego4D', '64076f60-f3fc-4ee6-93e1-3489d8ec7b12', 'game3')",Ego4D,64076f60-f3fc-4ee6-93e1-3489d8ec7b12,game3,Sebastian,NA,Moderator,moderator
"('Ego4D', '0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0', 'game1')",Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,game1,Sebastian,1,Robber,self_vote
"('Ego4D', '0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0', 'game1')",Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,game1,Jack,NA,Moderator,moderator
"('Ego4D', '324bccd2-adff-4e9a-8ff4-03491e144ac3', 'game5')",Ego4D,324bccd2-adff-4e9a-8ff4-03491e144ac3,game5,Jacob,3,Werewolf,self_vote
"('Ego4D', '2ba4023c-a8bf-43ad-ad5a-80ba222ce990', 'game8')",Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,game8,Clint,3,Werewolf,self_vote
"('Ego4D', '62c4bc58-3776-4791-ac30-4c9ca5619503', 'game12')",Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game12,Jessica,NA,Minion,no_vote_recorded
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game1')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game1,Kevin,4,Robber,vote_index_out_of_range
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game1')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game1,Kaelan,NA,Troublemaker,no_vote_recorded
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game1')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game1,Jessica,NA,Werewolf,no_vote_recorded
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game1')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game1,Daniel,NA,Drunk,no_vote_recorded
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game3')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game3,Kevin,NA,Minion,no_vote_recorded
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game3')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game3,Kaelan,NA,Troublemaker,no_vote_recorded
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game3')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game3,Jessica,NA,Doppleganger,no_vote_recorded
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game3')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game3,Daniel,NA,Werewolf,no_vote_recorded
"('Ego4D', '62c4bc58-3776-4791-ac30-4c9ca5619503', 'game9')",Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game9,Kevin,NA,Troublemaker,no_vote_recorded
"('Ego4D', '62c4bc58-3776-4791-ac30-4c9ca5619503', 'game9')",Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game9,Kaelan,NA,Doppleganger,no_vote_recorded
"('Ego4D', '62c4bc58-3776-4791-ac30-4c9ca5619503', 'game9')",Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game9,Jessica,NA,Werewolf,no_vote_recorded
"('Ego4D', '62c4bc58-3776-4791-ac30-4c9ca5619503', 'game9')",Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game9,Daniel,NA,Robber,no_vote_recorded
"('Ego4D', '698f6bbe-4347-4a06-bd5d-3482f5e4fbbe', 'game1')",Ego4D,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,game1,Ashley,1,Werewolf,self_vote
"('Ego4D', '0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0', 'game2')",Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,game2,Erin,NA,Moderator,moderator
"('Ego4D', '0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0', 'game2')",Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,game2,Sebastian,NA,Robber,no_vote_recorded
"('Ego4D', '0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0', 'game2')",Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,game2,Jack,NA,Werewolf,no_vote_recorded
"('Ego4D', '0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0', 'game2')",Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,game2,Brent,NA,Villager,no_vote_recorded
"('Ego4D', '0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0', 'game2')",Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,game2,Hailey,NA,Villager,no_vote_recorded
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game2')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game2,Kevin,NA,Troublemaker,no_vote_recorded
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game2')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game2,Jessica,NA,Minion,no_vote_recorded
"('Ego4D', '3ba069be-60fa-47fc-bd7b-f85bf649a5bd', 'game2')",Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game2,Daniel,NA,Villager,no_vote_recorded
