game_id,source,split,session_name,game_key,num_turns,num_players,n_raw_empty_annotation_utterances,n_raw_no_strategy_utterances,n_multi_label_utterances,n_strategy_utterances,n_no_strategy_or_empty_utterances,n_accusation,n_call_for_action,n_defense,n_evidence,n_identity_declaration,n_interrogation,n_no_strategy_empty,n_strategy_labels,strategy_utterance_rate,no_strategy_or_empty_utterance_rate,multi_label_utterance_rate,rate_accusation_per_turn,rate_call_for_action_per_turn,rate_defense_per_turn,rate_evidence_per_turn,rate_identity_declaration_per_turn,rate_interrogation_per_turn
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game6,194,4,0,87,36,107,87,18,6,47,30,11,35,87,147,0.5515463917525774,0.4484536082474227,0.18556701030927836,0.09278350515463918,0.030927835051546393,0.2422680412371134,0.15463917525773196,0.05670103092783505,0.18041237113402062
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game7,42,4,0,17,8,25,17,5,1,8,9,3,8,17,34,0.5952380952380952,0.40476190476190477,0.19047619047619047,0.11904761904761904,0.023809523809523808,0.19047619047619047,0.21428571428571427,0.07142857142857142,0.19047619047619047
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game8,77,4,0,50,7,27,50,4,2,7,4,8,9,50,34,0.35064935064935066,0.6493506493506493,0.09090909090909091,0.05194805194805195,0.025974025974025976,0.09090909090909091,0.05194805194805195,0.1038961038961039,0.11688311688311688
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,Ego4D,train,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game9,132,4,0,83,11,49,83,15,7,7,8,8,15,83,60,0.3712121212121212,0.6287878787878788,0.08333333333333333,0.11363636363636363,0.05303030303030303,0.05303030303030303,0.06060606060606061,0.06060606060606061,0.11363636363636363
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,Ego4D,train,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,Game10,130,4,0,74,3,56,74,30,2,2,6,4,15,74,59,0.4307692307692308,0.5692307692307692,0.023076923076923078,0.23076923076923078,0.015384615384615385,0.015384615384615385,0.046153846153846156,0.03076923076923077,0.11538461538461539
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,Ego4D,train,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,Game6,143,4,0,76,3,67,76,28,2,13,7,5,15,76,70,0.46853146853146854,0.5314685314685315,0.02097902097902098,0.1958041958041958,0.013986013986013986,0.09090909090909091,0.04895104895104895,0.03496503496503497,0.1048951048951049
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,Ego4D,train,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,Game7,128,4,0,81,8,47,81,21,0,1,16,5,12,81,55,0.3671875,0.6328125,0.0625,0.1640625,0.0,0.0078125,0.125,0.0390625,0.09375
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,Ego4D,val,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,Game8,124,4,0,67,5,57,67,26,1,4,7,6,18,67,62,0.4596774193548387,0.5403225806451613,0.04032258064516129,0.20967741935483872,0.008064516129032258,0.03225806451612903,0.056451612903225805,0.04838709677419355,0.14516129032258066
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,Ego4D,train,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,Game9,138,4,0,61,4,77,61,24,2,16,14,8,17,61,81,0.5579710144927537,0.4420289855072464,0.028985507246376812,0.17391304347826086,0.014492753623188406,0.11594202898550725,0.10144927536231885,0.057971014492753624,0.12318840579710146
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,Ego4D,train,324bccd2-adff-4e9a-8ff4-03491e144ac3,Game1,223,4,0,149,8,74,149,14,11,11,6,6,34,149,82,0.33183856502242154,0.6681614349775785,0.03587443946188341,0.06278026905829596,0.04932735426008968,0.04932735426008968,0.026905829596412557,0.026905829596412557,0.15246636771300448
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,Ego4D,train,324bccd2-adff-4e9a-8ff4-03491e144ac3,Game2,81,4,0,44,7,37,44,5,4,9,12,4,13,44,47,0.4567901234567901,0.5432098765432098,0.08641975308641975,0.06172839506172839,0.04938271604938271,0.1111111111111111,0.14814814814814814,0.04938271604938271,0.16049382716049382
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game3,Ego4D,train,324bccd2-adff-4e9a-8ff4-03491e144ac3,Game3,126,4,0,56,20,70,56,11,5,27,20,4,23,56,90,0.5555555555555556,0.4444444444444444,0.15873015873015872,0.0873015873015873,0.03968253968253968,0.21428571428571427,0.15873015873015872,0.031746031746031744,0.18253968253968253
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,Ego4D,train,324bccd2-adff-4e9a-8ff4-03491e144ac3,Game4,205,4,0,96,37,109,96,27,7,44,40,5,27,96,150,0.5317073170731708,0.4682926829268293,0.18048780487804877,0.13170731707317074,0.03414634146341464,0.2146341463414634,0.1951219512195122,0.024390243902439025,0.13170731707317074
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game5,Ego4D,val,324bccd2-adff-4e9a-8ff4-03491e144ac3,Game5,188,4,0,116,11,72,116,18,7,16,12,9,22,116,84,0.3829787234042553,0.6170212765957447,0.05851063829787234,0.09574468085106383,0.03723404255319149,0.0851063829787234,0.06382978723404255,0.047872340425531915,0.11702127659574468
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,Ego4D,test,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game1,85,4,0,33,18,52,33,8,10,19,13,7,16,33,73,0.611764705882353,0.38823529411764707,0.21176470588235294,0.09411764705882353,0.11764705882352941,0.2235294117647059,0.15294117647058825,0.08235294117647059,0.18823529411764706
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game2,Ego4D,test,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game2,49,4,0,17,12,32,17,3,4,13,12,10,7,17,49,0.6530612244897959,0.3469387755102041,0.24489795918367346,0.061224489795918366,0.08163265306122448,0.2653061224489796,0.24489795918367346,0.20408163265306123,0.14285714285714285
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game3,Ego4D,test,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game3,43,4,0,6,12,37,6,4,3,16,8,9,12,6,52,0.8604651162790697,0.13953488372093023,0.27906976744186046,0.09302325581395349,0.06976744186046512,0.37209302325581395,0.18604651162790697,0.20930232558139536,0.27906976744186046
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,Ego4D,train,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game4,63,4,0,12,19,51,12,14,3,24,13,12,8,12,74,0.8095238095238095,0.19047619047619047,0.30158730158730157,0.2222222222222222,0.047619047619047616,0.38095238095238093,0.20634920634920634,0.19047619047619047,0.12698412698412698
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,Ego4D,train,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game5,66,4,0,19,18,47,19,16,6,20,6,6,12,19,66,0.7121212121212122,0.2878787878787879,0.2727272727272727,0.24242424242424243,0.09090909090909091,0.30303030303030304,0.09090909090909091,0.09090909090909091,0.18181818181818182
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game6,Ego4D,train,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,Game6,47,4,0,19,12,28,19,5,0,9,8,12,9,19,43,0.5957446808510638,0.40425531914893614,0.2553191489361702,0.10638297872340426,0.0,0.19148936170212766,0.1702127659574468,0.2553191489361702,0.19148936170212766
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game10,Ego4D,train,62c4bc58-3776-4791-ac30-4c9ca5619503,Game10,20,4,0,17,0,3,17,2,0,0,0,1,0,17,3,0.15,0.85,0.0,0.1,0.0,0.0,0.0,0.05,0.0
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,Ego4D,train,62c4bc58-3776-4791-ac30-4c9ca5619503,Game11,66,4,0,41,0,25,41,13,0,7,0,2,3,41,25,0.3787878787878788,0.6212121212121212,0.0,0.19696969696969696,0.0,0.10606060606060606,0.0,0.030303030303030304,0.045454545454545456
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,Ego4D,test,62c4bc58-3776-4791-ac30-4c9ca5619503,Game12,35,4,0,25,1,10,25,1,0,0,5,1,4,25,11,0.2857142857142857,0.7142857142857143,0.02857142857142857,0.02857142857142857,0.0,0.0,0.14285714285714285,0.02857142857142857,0.11428571428571428
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game7,Ego4D,train,62c4bc58-3776-4791-ac30-4c9ca5619503,Game7,75,4,0,46,6,29,46,7,4,12,5,3,7,46,38,0.38666666666666666,0.6133333333333333,0.08,0.09333333333333334,0.05333333333333334,0.16,0.06666666666666667,0.04,0.09333333333333334
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,Ego4D,train,62c4bc58-3776-4791-ac30-4c9ca5619503,Game8,49,4,0,25,9,24,25,3,1,11,5,7,7,25,34,0.4897959183673469,0.5102040816326531,0.1836734693877551,0.061224489795918366,0.02040816326530612,0.22448979591836735,0.10204081632653061,0.14285714285714285,0.14285714285714285
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game9,Ego4D,test,62c4bc58-3776-4791-ac30-4c9ca5619503,Game9,47,4,0,32,1,15,32,1,0,0,9,1,5,32,16,0.3191489361702128,0.6808510638297872,0.02127659574468085,0.02127659574468085,0.0,0.0,0.19148936170212766,0.02127659574468085,0.10638297872340426
Ego4D / 64076f60-f3fc-4ee6-93e1-3489d8ec7b12 / Game3,Ego4D,val,64076f60-f3fc-4ee6-93e1-3489d8ec7b12,Game3,219,5,0,154,17,65,154,9,1,13,22,7,33,154,85,0.2968036529680365,0.7031963470319634,0.0776255707762557,0.0410958904109589,0.0045662100456621,0.0593607305936073,0.1004566210045662,0.0319634703196347,0.1506849315068493
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game1,Ego4D,test,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,Game1,256,6,0,136,19,120,136,34,15,17,25,12,38,136,141,0.46875,0.53125,0.07421875,0.1328125,0.05859375,0.06640625,0.09765625,0.046875,0.1484375
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game2,Ego4D,train,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,Game2,252,6,0,126,24,126,126,49,24,24,18,15,21,126,151,0.5,0.5,0.09523809523809523,0.19444444444444445,0.09523809523809523,0.09523809523809523,0.07142857142857142,0.05952380952380952,0.08333333333333333
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game3,Ego4D,test,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,Game3,116,6,0,73,12,43,73,15,10,4,12,6,10,73,57,0.3706896551724138,0.6293103448275862,0.10344827586206896,0.12931034482758622,0.08620689655172414,0.034482758620689655,0.10344827586206896,0.05172413793103448,0.08620689655172414
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,Youtube,train,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game1,107,5,0,51,7,56,51,16,6,15,8,8,10,51,63,0.5233644859813084,0.4766355140186916,0.06542056074766354,0.14953271028037382,0.056074766355140186,0.14018691588785046,0.07476635514018691,0.07476635514018691,0.09345794392523364
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game2,Youtube,train,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game2,147,5,0,59,22,88,59,28,11,20,23,7,23,59,112,0.5986394557823129,0.4013605442176871,0.14965986394557823,0.19047619047619047,0.07482993197278912,0.1360544217687075,0.1564625850340136,0.047619047619047616,0.1564625850340136
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,Youtube,train,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game3,70,5,0,21,10,49,21,13,7,7,11,6,16,21,60,0.7,0.3,0.14285714285714285,0.18571428571428572,0.1,0.1,0.15714285714285714,0.08571428571428572,0.22857142857142856
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,Youtube,train,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game4,139,5,0,66,10,73,66,26,9,16,11,10,14,66,86,0.5251798561151079,0.4748201438848921,0.07194244604316546,0.18705035971223022,0.06474820143884892,0.11510791366906475,0.07913669064748201,0.07194244604316546,0.10071942446043165
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game5,Youtube,train,Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9,Game5,80,5,0,23,11,57,23,21,6,11,7,11,13,23,69,0.7125,0.2875,0.1375,0.2625,0.075,0.1375,0.0875,0.1375,0.1625
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game1,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game1,57,4,0,28,4,29,28,10,1,5,3,5,9,28,33,0.5087719298245614,0.49122807017543857,0.07017543859649122,0.17543859649122806,0.017543859649122806,0.08771929824561403,0.05263157894736842,0.08771929824561403,0.15789473684210525
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game10,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game10,384,4,0,230,12,154,230,54,15,30,10,12,47,230,168,0.4010416666666667,0.5989583333333334,0.03125,0.140625,0.0390625,0.078125,0.026041666666666668,0.03125,0.12239583333333333
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game2,86,4,0,26,8,60,26,19,10,4,9,8,19,26,69,0.6976744186046512,0.3023255813953488,0.09302325581395349,0.22093023255813954,0.11627906976744186,0.046511627906976744,0.10465116279069768,0.09302325581395349,0.22093023255813954
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,Youtube,val,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game3,79,4,0,33,4,46,33,25,1,4,1,5,15,33,51,0.5822784810126582,0.4177215189873418,0.05063291139240506,0.31645569620253167,0.012658227848101266,0.05063291139240506,0.012658227848101266,0.06329113924050633,0.189873417721519
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game4,130,4,0,41,10,89,41,49,3,8,6,12,21,41,99,0.6846153846153846,0.3153846153846154,0.07692307692307693,0.3769230769230769,0.023076923076923078,0.06153846153846154,0.046153846153846156,0.09230769230769231,0.16153846153846155
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game5,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game5,118,4,0,47,6,71,47,27,4,8,8,7,23,47,77,0.6016949152542372,0.3983050847457627,0.05084745762711865,0.2288135593220339,0.03389830508474576,0.06779661016949153,0.06779661016949153,0.059322033898305086,0.19491525423728814
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,Youtube,val,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game6,109,4,0,28,21,81,28,29,9,32,8,13,14,28,105,0.7431192660550459,0.25688073394495414,0.1926605504587156,0.26605504587155965,0.08256880733944955,0.29357798165137616,0.07339449541284404,0.11926605504587157,0.12844036697247707
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game7,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game7,94,4,0,51,6,43,51,13,6,12,6,5,11,51,53,0.4574468085106383,0.5425531914893617,0.06382978723404255,0.13829787234042554,0.06382978723404255,0.1276595744680851,0.06382978723404255,0.05319148936170213,0.11702127659574468
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game8,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game8,104,4,0,35,8,69,35,26,7,8,8,10,19,35,78,0.6634615384615384,0.33653846153846156,0.07692307692307693,0.25,0.0673076923076923,0.07692307692307693,0.07692307692307693,0.09615384615384616,0.18269230769230768
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game9,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1,Game9,105,4,0,38,7,67,38,23,6,21,4,3,17,38,74,0.638095238095238,0.3619047619047619,0.06666666666666667,0.21904761904761905,0.05714285714285714,0.2,0.0380952380952381,0.02857142857142857,0.1619047619047619
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game1,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game1,103,5,0,58,10,45,58,18,3,5,7,12,12,58,57,0.4368932038834951,0.5631067961165048,0.0970873786407767,0.17475728155339806,0.02912621359223301,0.04854368932038835,0.06796116504854369,0.11650485436893204,0.11650485436893204
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,Youtube,val,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game2,59,5,0,35,1,24,35,2,3,2,6,1,11,35,25,0.4067796610169492,0.5932203389830508,0.01694915254237288,0.03389830508474576,0.05084745762711865,0.03389830508474576,0.1016949152542373,0.01694915254237288,0.1864406779661017
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game3,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game3,59,5,0,19,5,40,19,6,0,5,9,6,20,19,46,0.6779661016949152,0.3220338983050847,0.0847457627118644,0.1016949152542373,0.0,0.0847457627118644,0.15254237288135594,0.1016949152542373,0.3389830508474576
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game4,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game4,92,5,0,29,8,63,29,22,2,12,10,6,20,29,72,0.6847826086956522,0.31521739130434784,0.08695652173913043,0.2391304347826087,0.021739130434782608,0.13043478260869565,0.10869565217391304,0.06521739130434782,0.21739130434782608
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game5,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game5,111,5,0,37,8,74,37,25,2,6,16,5,28,37,82,0.6666666666666666,0.3333333333333333,0.07207207207207207,0.22522522522522523,0.018018018018018018,0.05405405405405406,0.14414414414414414,0.04504504504504504,0.25225225225225223
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game6,150,5,0,74,7,76,74,33,2,14,10,5,20,74,84,0.5066666666666667,0.49333333333333335,0.04666666666666667,0.22,0.013333333333333334,0.09333333333333334,0.06666666666666667,0.03333333333333333,0.13333333333333333
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game7,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game7,107,5,0,30,16,77,30,31,7,16,11,8,22,30,95,0.719626168224299,0.2803738317757009,0.14953271028037382,0.2897196261682243,0.06542056074766354,0.14953271028037382,0.102803738317757,0.07476635514018691,0.205607476635514
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,Youtube,val,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game8,116,5,0,55,7,61,55,18,4,17,6,5,18,55,68,0.5258620689655172,0.47413793103448276,0.0603448275862069,0.15517241379310345,0.034482758620689655,0.14655172413793102,0.05172413793103448,0.04310344827586207,0.15517241379310345
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game2,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game2,95,4,0,46,5,49,46,16,2,9,6,7,15,46,55,0.5157894736842106,0.4842105263157895,0.05263157894736842,0.16842105263157894,0.021052631578947368,0.09473684210526316,0.06315789473684211,0.07368421052631578,0.15789473684210525
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game3,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game3,35,4,0,21,2,14,21,1,3,3,3,2,4,21,16,0.4,0.6,0.05714285714285714,0.02857142857142857,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.05714285714285714,0.11428571428571428
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game4,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game4,114,4,0,35,9,79,35,24,5,19,7,5,28,35,88,0.6929824561403509,0.30701754385964913,0.07894736842105263,0.21052631578947367,0.043859649122807015,0.16666666666666666,0.06140350877192982,0.043859649122807015,0.24561403508771928
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game5,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game5,131,4,0,41,11,90,41,24,8,22,9,10,29,41,102,0.6870229007633588,0.31297709923664124,0.08396946564885496,0.183206106870229,0.061068702290076333,0.16793893129770993,0.06870229007633588,0.07633587786259542,0.22137404580152673
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game6,117,4,0,38,14,79,38,28,6,10,12,11,27,38,94,0.6752136752136753,0.3247863247863248,0.11965811965811966,0.23931623931623933,0.05128205128205128,0.08547008547008547,0.10256410256410256,0.09401709401709402,0.23076923076923078
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game7,Youtube,test,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game7,73,4,0,14,6,59,14,16,3,11,7,8,20,14,65,0.8082191780821918,0.1917808219178082,0.0821917808219178,0.2191780821917808,0.0410958904109589,0.1506849315068493,0.0958904109589041,0.1095890410958904,0.273972602739726
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,Youtube,train,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game8,60,4,0,35,4,25,35,6,5,3,5,2,9,35,30,0.4166666666666667,0.5833333333333334,0.06666666666666667,0.1,0.08333333333333333,0.05,0.08333333333333333,0.03333333333333333,0.15
