game_id,actual_human_available,actual_human_vote_type,actual_human_targets,actual_human_target_names,actual_human_win,n_village_aligned_votes,village_vote_counts,village_top_targets,village_top_target_names,village_top_share,village_vote_entropy,village_modal_correct,llm_vote_entropy,llm_top_share,agreement_type,stochastic_majority_vote,has_stochastic_majority,stochastic_majority_correct,greedy_vote,greedy_correct,human_llm_outcome_bucket
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,True,circle,[],[],True,5,"{""Dan"": 1, ""Mitchell"": 1, ""Caitlynn"": 1, ""Mike"": 1, ""Justin"": 1}","[1, 2, 3, 4, 0]","[""Dan"", ""Mitchell"", ""Caitlynn"", ""Mike"", ""Justin""]",0.2,1.6094379124341005,False,-0.0,1.0,unanimous,No Werewolf,True,True,No Werewolf,True,human_win_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game3,True,player,[0],"[""Justin""]",True,4,"{""Justin"": 4}",[0],"[""Justin""]",1.0,-0.0,True,,,,,,,,,missing_or_no_majority
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game4,True,player,[4],"[""Mike""]",True,4,"{""Mike"": 4}",[4],"[""Mike""]",1.0,-0.0,True,-0.0,1.0,unanimous,Mike,True,True,Mike,True,human_win_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game5,True,player,[0],"[""Justin""]",False,3,"{""Mitchell"": 1, ""Caitlynn"": 1, ""Justin"": 1}","[2, 3, 0]","[""Mitchell"", ""Caitlynn"", ""Justin""]",0.3333333333333333,1.0986122886681096,True,-0.0,1.0,unanimous,Justin,True,False,Justin,False,human_lose_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,True,player,"[2, 0]","[""Mitchell"", ""Justin""]",True,2,"{""Justin"": 2}",[0],"[""Justin""]",1.0,-0.0,True,-0.0,1.0,unanimous,Mitchell,True,False,Mitchell,False,human_win_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game7,True,player,"[3, 0]","[""Caitlynn"", ""Justin""]",True,3,"{""Dan"": 1, ""Caitlynn"": 2}",[3],"[""Caitlynn""]",0.6666666666666666,0.6365141682948128,True,-0.0,1.0,unanimous,Caitlynn,True,True,Caitlynn,True,human_win_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,True,player,[0],"[""Justin""]",False,3,"{""Mike"": 1, ""Caitlynn"": 1, ""Justin"": 1}","[4, 3, 0]","[""Mike"", ""Caitlynn"", ""Justin""]",0.3333333333333333,1.0986122886681096,False,0.6365141682948128,0.6666666666666666,two_vs_one,Dan,True,True,Justin,False,human_lose_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game2,True,player,[1],"[""Mike""]",False,3,"{""Mike"": 2, ""Justin"": 1}",[1],"[""Mike""]",0.6666666666666666,0.6365141682948128,False,0.6365141682948128,0.6666666666666666,two_vs_one,Mike,True,False,Mike,False,human_lose_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game3,True,circle,[],[],True,4,"{""Mike"": 1, ""James"": 1, ""Mitchell"": 1, ""Justin"": 1}","[1, 2, 3, 0]","[""Mike"", ""James"", ""Mitchell"", ""Justin""]",0.25,1.3862943611198906,False,,,,,,,,,missing_or_no_majority
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game4,True,player,[3],"[""Mitchell""]",False,2,"{""Mitchell"": 2}",[3],"[""Mitchell""]",1.0,-0.0,False,1.0986122886681096,0.3333333333333333,all_different,,False,,Mike,True,missing_or_no_majority
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game5,True,player,[3],"[""Mitchell""]",False,3,"{""Mitchell"": 2, ""Justin"": 1}",[3],"[""Mitchell""]",0.6666666666666666,0.6365141682948128,False,-0.0,1.0,unanimous,Mitchell,True,False,James,False,human_lose_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,True,player,[1],"[""Mike""]",True,2,"{""Mike"": 1, ""Justin"": 1}","[1, 0]","[""Mike"", ""Justin""]",0.5,0.6931471805599453,True,-0.0,1.0,unanimous,Mike,True,True,Mike,True,human_win_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game7,True,player,[3],"[""Mitchell""]",True,2,"{""Mitchell"": 2}",[3],"[""Mitchell""]",1.0,-0.0,True,-0.0,1.0,unanimous,Mitchell,True,True,Mitchell,True,human_win_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,True,circle,[],[],True,3,"{""Mike"": 1, ""James"": 1, ""Mitchell"": 1}","[1, 2, 3]","[""Mike"", ""James"", ""Mitchell""]",0.3333333333333333,1.0986122886681096,False,-0.0,1.0,unanimous,No Werewolf,True,True,No Werewolf,True,human_win_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,True,player,[4],"[""Mitchell""]",False,3,"{""Mitchell"": 3}",[4],"[""Mitchell""]",1.0,-0.0,False,0.6365141682948128,0.6666666666666666,two_vs_one,No Werewolf,True,False,Mitchell,False,human_lose_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,True,player,[0],"[""Justin""]",True,3,"{""Justin"": 3}",[0],"[""Justin""]",1.0,-0.0,True,0.6365141682948128,0.6666666666666666,two_vs_one,Mitchell,True,False,Mitchell,False,human_win_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,True,player,[4],"[""Mitchell""]",True,3,"{""Mitchell"": 3}",[4],"[""Mitchell""]",1.0,-0.0,True,-0.0,1.0,unanimous,Mitchell,True,True,Mitchell,True,human_win_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game4,True,player,[4],"[""Mitchell""]",False,3,"{""Justin"": 2, ""Mitchell"": 1}",[0],"[""Justin""]",0.6666666666666666,0.6365141682948128,True,-0.0,1.0,unanimous,Mitchell,True,False,Mitchell,False,human_lose_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game5,False,,[],[],,3,"{""James"": 3}",[3],"[""James""]",1.0,-0.0,True,-0.0,1.0,unanimous,Justin,True,False,Justin,False,missing_or_no_majority
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game6,True,player,[4],"[""Mitchell""]",False,4,"{""Mitchell"": 4}",[4],"[""Mitchell""]",1.0,-0.0,False,0.6365141682948128,0.6666666666666666,two_vs_one,Mitchell,True,False,Mitchell,False,human_lose_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,True,player,[1],"[""Caitlynn""]",False,4,"{""Caitlynn"": 4}",[1],"[""Caitlynn""]",1.0,-0.0,False,-0.0,1.0,unanimous,Caitlynn,True,False,No Werewolf,True,human_lose_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,False,,[],[],,2,"{""Justin"": 2}",[0],"[""Justin""]",1.0,-0.0,False,-0.0,1.0,unanimous,Justin,True,False,Justin,False,missing_or_no_majority
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,True,player,[2],"[""Mitchell""]",False,3,"{""Mitchell"": 2, ""Justin"": 1}",[2],"[""Mitchell""]",0.6666666666666666,0.6365141682948128,False,0.6365141682948128,0.6666666666666666,two_vs_one,Mitchell,True,False,Mitchell,False,human_lose_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,True,player,[0],"[""Justin""]",False,2,"{""Mitchell"": 1, ""Justin"": 1}","[2, 0]","[""Mitchell"", ""Justin""]",0.5,0.6931471805599453,True,0.6365141682948128,0.6666666666666666,two_vs_one,No Werewolf,True,False,Justin,False,human_lose_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,True,player,[1],"[""Paul""]",True,2,"{""Paul"": 2}",[1],"[""Paul""]",1.0,-0.0,True,0.6365141682948128,0.6666666666666666,two_vs_one,Paul,True,True,Paul,True,human_win_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,True,circle,[],[],True,3,"{""Paul"": 1, ""Mitchell"": 1, ""Justin"": 1}","[1, 2, 0]","[""Paul"", ""Mitchell"", ""Justin""]",0.3333333333333333,1.0986122886681096,False,0.6365141682948128,0.6666666666666666,two_vs_one,No Werewolf,True,True,No Werewolf,True,human_win_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game5,True,player,[2],"[""Mitchell""]",False,1,"{""Justin"": 1}",[0],"[""Justin""]",1.0,-0.0,True,0.6365141682948128,0.6666666666666666,two_vs_one,Justin,True,True,Justin,True,human_lose_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,True,player,[2],"[""Mitchell""]",False,1,"{""Paul"": 1}",[1],"[""Paul""]",1.0,-0.0,True,-0.0,1.0,unanimous,No Werewolf,True,False,No Werewolf,False,human_lose_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game7,True,circle,[],[],False,2,"{""Paul"": 1, ""Justin"": 1}","[1, 0]","[""Paul"", ""Justin""]",0.5,0.6931471805599453,True,0.6365141682948128,0.6666666666666666,two_vs_one,Paul,True,True,Justin,False,human_lose_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game8,True,player,[2],"[""Mitchell""]",False,0,{},[],[],,,,1.0986122886681096,0.3333333333333333,all_different,,False,,No Werewolf,False,missing_or_no_majority
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,True,player,"[2, 0]","[""Haak"", ""Sarah""]",True,3,"{""Jordan2"": 1, ""Haak"": 2}",[2],"[""Haak""]",0.6666666666666666,0.6365141682948128,True,1.0986122886681096,0.3333333333333333,all_different,,False,,Jordan2,False,missing_or_no_majority
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,True,player,[2],"[""Haak""]",False,3,"{""Jordan1"": 1, ""Meryl"": 1, ""Haak"": 1}","[1, 5, 2]","[""Jordan1"", ""Meryl"", ""Haak""]",0.3333333333333333,1.0986122886681096,True,1.0986122886681096,0.3333333333333333,all_different,,False,,Jordan2,False,missing_or_no_majority
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,False,,[],[],,3,"{""Mike"": 3}",[5],"[""Mike""]",1.0,-0.0,False,-0.0,1.0,unanimous,Mike,True,False,Mike,False,missing_or_no_majority
Youtube / One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough / Game1,True,player,[3],"[""Brett""]",False,4,"{""Audrey"": 1, ""Katie"": 2, ""Brett"": 1}",[2],"[""Katie""]",0.5,1.0397207708399179,True,0.6365141682948128,0.6666666666666666,two_vs_one,Brett,True,False,No Werewolf,False,human_lose_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,True,player,[1],"[""Mitchell""]",False,4,"{""Mitchell"": 3, ""Mike"": 1}",[1],"[""Mitchell""]",0.75,0.5623351446188083,False,0.6365141682948128,0.6666666666666666,two_vs_one,Mitchell,True,False,Mitchell,False,human_lose_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,True,player,"[1, 0]","[""Julie"", ""Justin""]",False,1,"{""Julie"": 1}",[1],"[""Julie""]",1.0,-0.0,False,0.6365141682948128,0.6666666666666666,two_vs_one,Mike,True,True,Julie,False,human_lose_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,True,circle,[],[],False,2,"{""Julie"": 1, ""Justin"": 1}","[1, 0]","[""Julie"", ""Justin""]",0.5,0.6931471805599453,True,0.6365141682948128,0.6666666666666666,two_vs_one,Mitchell,True,True,Mitchell,True,human_lose_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,True,player,[0],"[""Justin""]",False,2,"{""Julie"": 1, ""Justin"": 1}","[1, 0]","[""Julie"", ""Justin""]",0.5,0.6931471805599453,False,-0.0,1.0,unanimous,Justin,True,False,Justin,False,human_lose_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,True,player,[1],"[""Mitchell""]",False,1,"{""Justin"": 1}",[0],"[""Justin""]",1.0,-0.0,False,0.6365141682948128,0.6666666666666666,two_vs_one,Caitlynn,True,True,Justin,False,human_lose_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game2,True,player,[1],"[""Mitchell""]",False,1,"{""Caitlynn"": 1}",[2],"[""Caitlynn""]",1.0,-0.0,False,-0.0,1.0,unanimous,Justin,True,True,Justin,True,human_lose_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017 / Game1,True,circle,[],[],False,1,"{""Mitchell"": 1}",[3],"[""Mitchell""]",1.0,-0.0,True,0.6365141682948128,0.6666666666666666,two_vs_one,Paul,True,False,Paul,False,human_lose_llm_lose
Youtube / One#Night#Ultimate#Werewolf#2#The#Drunk / Game1,True,player,[0],"[""Dan""]",True,4,"{""Dan"": 4}",[0],"[""Dan""]",1.0,-0.0,True,,,,,,,,,missing_or_no_majority
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,True,player,[2],"[""Paul""]",False,2,"{""Paul"": 2}",[2],"[""Paul""]",1.0,-0.0,False,-0.0,1.0,unanimous,Meghan,True,True,Meghan,True,human_lose_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game3,True,player,[1],"[""Meghan""]",True,2,"{""Meghan"": 2}",[1],"[""Meghan""]",1.0,-0.0,True,-0.0,1.0,unanimous,Meghan,True,True,Meghan,True,human_win_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game1,True,player,"[4, 3]","[""Mitchell"", ""Alysha""]",True,3,"{""Mitchell"": 1, ""Alysha"": 2}",[3],"[""Alysha""]",0.6666666666666666,0.6365141682948128,True,-0.0,1.0,unanimous,Mitchell,True,True,Mitchell,True,human_win_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,True,player,[5],"[""Mike""]",False,3,"{""Mitchell"": 1, ""Mike"": 1, ""Paul"": 1}","[4, 5, 2]","[""Mitchell"", ""Mike"", ""Paul""]",0.3333333333333333,1.0986122886681096,False,-0.0,1.0,unanimous,Mike,True,False,Mike,False,human_lose_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,True,player,[5],"[""Mike""]",False,3,"{""Mike"": 2, ""Paul"": 1}",[5],"[""Mike""]",0.6666666666666666,0.6365141682948128,False,-0.0,1.0,unanimous,Justin,True,False,Justin,False,human_lose_llm_lose
Youtube / One#Night#Ultimate#Werewolf#3#Insomniac / Game1,True,player,[3],"[""Brett""]",True,5,"{""Brett"": 4, ""Dan"": 1}",[3],"[""Brett""]",0.8,0.5004024235381879,True,-0.0,1.0,unanimous,Brett,True,True,Brett,True,human_win_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game2,True,player,[5],"[""Mike""]",False,3,"{""Mitchell"": 1, ""Mike"": 1, ""Justin"": 1}","[4, 5, 0]","[""Mitchell"", ""Mike"", ""Justin""]",0.3333333333333333,1.0986122886681096,True,,,,,,,,,missing_or_no_majority
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,True,player,[3],"[""Alysha""]",False,3,"{""Alysha"": 2, ""Caitlynn"": 1}",[3],"[""Alysha""]",0.6666666666666666,0.6365141682948128,False,0.6365141682948128,0.6666666666666666,two_vs_one,No Werewolf,True,False,Alysha,False,human_lose_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game2,True,player,[3],"[""Mitchell""]",False,3,"{""Mitchell"": 2, ""Carly"": 1}",[3],"[""Mitchell""]",0.6666666666666666,0.6365141682948128,False,,,,,,,,,missing_or_no_majority
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game3,True,player,[4],"[""Mike""]",True,1,"{""Carly"": 1}",[1],"[""Carly""]",1.0,-0.0,False,0.6365141682948128,0.6666666666666666,two_vs_one,No Werewolf,True,False,No Werewolf,False,human_win_llm_lose
Youtube / One#Night#Ultimate#Werewolf#361#Classic#Werewolf / Game1,True,player,"[4, 2]","[""Kelsey"", ""Brett""]",True,3,"{""Kelsey"": 1, ""Dylan"": 1, ""Brett"": 1}","[4, 5, 2]","[""Kelsey"", ""Dylan"", ""Brett""]",0.3333333333333333,1.0986122886681096,True,1.0986122886681096,0.3333333333333333,all_different,,False,,Dylan,True,missing_or_no_majority
Youtube / One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf / Game1,True,player,"[4, 3]","[""Kelsey"", ""George""]",False,2,"{""Kelsey"": 1, ""Pete"": 1}","[4, 0]","[""Kelsey"", ""Pete""]",0.5,0.6931471805599453,True,0.6365141682948128,0.6666666666666666,two_vs_one,Kelsey,True,False,Kelsey,False,human_lose_llm_lose
Youtube / One#Night#Ultimate#Werewolf#363#Even#More#Classic#Werewolf / Game1,True,player,[1],"[""Katie""]",True,4,"{""Katie"": 3, ""Brett"": 1}",[1],"[""Katie""]",0.75,0.5623351446188083,True,1.0986122886681096,0.3333333333333333,all_different,,False,,Pete,False,missing_or_no_majority
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018 / Game2,True,player,[4],"[""Mike""]",False,1,"{""Mitchell"": 1}",[2],"[""Mitchell""]",1.0,-0.0,True,1.0986122886681096,0.3333333333333333,all_different,,False,,Mike,False,missing_or_no_majority
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,True,player,[0],"[""Justin""]",True,2,"{""James"": 1, ""Justin"": 1}","[3, 0]","[""James"", ""Justin""]",0.5,0.6931471805599453,True,0.6365141682948128,0.6666666666666666,two_vs_one,Mike,True,True,James,False,human_win_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game4,True,player,[4],"[""Mike""]",False,2,"{""Mitchell"": 2}",[2],"[""Mitchell""]",1.0,-0.0,False,0.6365141682948128,0.6666666666666666,two_vs_one,Mike,True,False,Mike,False,human_lose_llm_lose
Youtube / One#Night#Ultimate#Werewolf#381#The#Hunt#Is#On / Game1,True,player,"[4, 3]","[""Kelsey"", ""Brett""]",False,5,"{""Kelsey"": 2, ""Dustin"": 1, ""Katie"": 1, ""Brett"": 1}",[4],"[""Kelsey""]",0.4,1.3321790402101223,False,-0.0,1.0,unanimous,Dustin,True,False,Dustin,False,human_lose_llm_lose
Youtube / One#Night#Ultimate#Werewolf#382#Game#100!! / Game1,True,player,[5],"[""Dylan""]",False,4,"{""Dustin"": 1, ""Dylan"": 1, ""Ed"": 1, ""Katie"": 1}","[1, 5, 0, 2]","[""Dustin"", ""Dylan"", ""Ed"", ""Katie""]",0.25,1.3862943611198906,True,-0.0,1.0,unanimous,Dylan,True,False,No Werewolf,False,human_lose_llm_lose
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,True,player,[0],"[""Justin""]",True,2,"{""Justin"": 2}",[0],"[""Justin""]",1.0,-0.0,True,1.0986122886681096,0.3333333333333333,all_different,,False,,No Werewolf,False,missing_or_no_majority
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,True,player,"[1, 2]","[""Paul"", ""Mitchell""]",False,2,"{""Mitchell"": 2}",[2],"[""Mitchell""]",1.0,-0.0,False,1.0986122886681096,0.3333333333333333,all_different,,False,,Justin,True,missing_or_no_majority
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,True,player,"[1, 2]","[""Paul"", ""Mitchell""]",True,2,"{""Mitchell"": 2}",[2],"[""Mitchell""]",1.0,-0.0,True,1.0986122886681096,0.3333333333333333,all_different,,False,,Mitchell,True,missing_or_no_majority
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,True,player,[1],"[""Paul""]",False,3,"{""Paul"": 3}",[1],"[""Paul""]",1.0,-0.0,False,0.6365141682948128,0.6666666666666666,two_vs_one,No Werewolf,True,True,Mitchell,False,human_lose_llm_win
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,True,player,"[1, 3]","[""Mitchell"", ""Mike""]",True,2,"{""Mitchell"": 2}",[1],"[""Mitchell""]",1.0,-0.0,True,-0.0,1.0,unanimous,Mitchell,True,True,Mitchell,True,human_win_llm_win
