game_id,source,session_name,game_key,n_players,n_valid_human_votes,n_missing_human_votes,has_werewolf,human_outcome_type,human_target_names,human_outcome_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game4,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game4,5,5,0,True,player,"[""Mike""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game5,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game5,5,5,0,True,player,"[""Justin""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game6,5,5,0,True,player,"[""Justin"", ""Mitchell""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game7,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game7,5,5,0,True,player,"[""Justin"", ""Caitlynn""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2,Game8,5,5,0,True,player,"[""Justin""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game2,4,4,0,True,player,"[""Mike""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game3,4,4,0,False,circle,[],True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game4,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game4,4,4,0,True,player,"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game5,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game5,4,4,0,True,player,"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game6,4,4,0,True,player,"[""Mike""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game7,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game7,4,4,0,True,player,"[""Mitchell""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3,Game8,4,4,0,False,circle,[],True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game10,5,5,0,True,player,"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game11,5,5,0,True,player,"[""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game3,5,5,0,True,player,"[""Mitchell""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game4,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game4,5,5,0,True,player,"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game5,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game5,5,4,1,True,player,"[""James""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game6,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game6,5,5,0,False,player,"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game7,5,5,0,False,player,"[""Caitlynn""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4,Game9,5,4,1,True,player,"[""Justin""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game1,3,3,0,False,player,"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game2,3,3,0,True,player,"[""Justin""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game3,3,3,0,True,player,"[""Paul""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game4,3,3,0,False,circle,[],True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game5,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game5,3,3,0,True,player,"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game6,3,3,0,True,player,"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game7,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game7,3,3,0,True,circle,[],False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game8,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5,Game8,3,3,0,True,player,"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through,Game1,6,6,0,True,player,"[""Sarah"", ""Haak""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through,Game2,6,6,0,True,player,"[""Haak""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016,Game2,6,5,1,True,player,"[""Mike""]",False
Youtube / One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough / Game1,Youtube,One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough,Game1,6,6,0,True,player,"[""Brett""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016,Game1,4,4,0,False,player,"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017,Game1,4,4,0,True,player,"[""Justin"", ""Julie""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017,Game2,4,4,0,True,circle,[],False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017,Game3,4,4,0,True,player,"[""Justin""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017,Game1,4,4,0,True,player,"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017,Game2,4,4,0,True,player,"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017 / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017,Game1,4,4,0,True,circle,[],False
Youtube / One#Night#Ultimate#Werewolf#2#The#Drunk / Game1,Youtube,One#Night#Ultimate#Werewolf#2#The#Drunk,Game1,6,6,0,True,player,"[""Dan""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018,Game2,5,5,0,True,player,"[""Paul""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018,Game3,5,5,0,True,player,"[""Meghan""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018,Game1,6,6,0,True,player,"[""Alysha"", ""Mitchell""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018,Game2,6,6,0,True,player,"[""Mike""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018,Game3,6,6,0,True,player,"[""Mike""]",False
Youtube / One#Night#Ultimate#Werewolf#3#Insomniac / Game1,Youtube,One#Night#Ultimate#Werewolf#3#Insomniac,Game1,6,6,0,True,player,"[""Brett""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018,Game2,6,6,0,True,player,"[""Mike""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018,Game4,6,6,0,True,player,"[""Alysha""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018,Game2,5,5,0,True,player,"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018,Game3,5,5,0,True,player,"[""Mike""]",True
Youtube / One#Night#Ultimate#Werewolf#361#Classic#Werewolf / Game1,Youtube,One#Night#Ultimate#Werewolf#361#Classic#Werewolf,Game1,6,6,0,True,player,"[""Brett"", ""Kelsey""]",True
Youtube / One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf / Game1,Youtube,One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf,Game1,6,6,0,True,player,"[""George"", ""Kelsey""]",False
Youtube / One#Night#Ultimate#Werewolf#363#Even#More#Classic#Werewolf / Game1,Youtube,One#Night#Ultimate#Werewolf#363#Even#More#Classic#Werewolf,Game1,6,6,0,True,player,"[""Katie""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018,Game2,5,5,0,True,player,"[""Mike""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018,Game3,5,5,0,True,player,"[""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game4,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018,Game4,5,5,0,True,player,"[""Mike""]",False
Youtube / One#Night#Ultimate#Werewolf#381#The#Hunt#Is#On / Game1,Youtube,One#Night#Ultimate#Werewolf#381#The#Hunt#Is#On,Game1,6,6,0,False,player,"[""Brett"", ""Kelsey""]",False
Youtube / One#Night#Ultimate#Werewolf#382#Game#100!! / Game1,Youtube,One#Night#Ultimate#Werewolf#382#Game#100!!,Game1,6,6,0,True,player,"[""Dylan""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018,Game3,5,5,0,True,player,"[""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016,Game1,4,4,0,True,player,"[""Paul"", ""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016,Game2,4,4,0,True,player,"[""Paul"", ""Mitchell""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016,Game3,4,4,0,False,player,"[""Paul""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018,Game1,4,4,0,True,player,"[""Mitchell"", ""Mike""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018,Game3,4,4,0,True,player,"[""Paul""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game4,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018,Game4,4,4,0,True,player,"[""Paul""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018,Game1,4,4,0,True,player,"[""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018,Game2,4,4,0,True,player,"[""Justin"", ""Mitchell""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018,Game3,4,4,0,False,circle,[],True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game4,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018,Game4,4,4,0,False,circle,[],True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018,Game5,4,4,0,True,player,"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game4,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018,Game4,4,4,0,True,player,"[""Mike""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018,Game6,4,4,0,False,player,"[""Mike""]",False
Youtube / One#Night#Ultimate#Werewolf#491#Classic#Werewolf / Game1,Youtube,One#Night#Ultimate#Werewolf#491#Classic#Werewolf,Game1,4,4,0,True,player,"[""Pete""]",False
Youtube / One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf / Game1,Youtube,One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf,Game1,4,4,0,False,player,"[""Pete""]",False
Youtube / One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf / Game1,Youtube,One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf,Game1,4,4,0,True,player,"[""Katie""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016 / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016,Game1,4,4,0,True,player,"[""Mike""]",False
Youtube / One#Night#Ultimate#Werewolf#531#Classic#ONUW / Game1,Youtube,One#Night#Ultimate#Werewolf#531#Classic#ONUW,Game1,4,4,0,False,player,"[""Brett""]",False
Youtube / One#Night#Ultimate#Werewolf#532#More#Classic#ONUW / Game1,Youtube,One#Night#Ultimate#Werewolf#532#More#Classic#ONUW,Game1,4,4,0,True,player,"[""DeAndre""]",True
Youtube / One#Night#Ultimate#Werewolf#533#Even#More#Classic#ONUW / Game1,Youtube,One#Night#Ultimate#Werewolf#533#Even#More#Classic#ONUW,Game1,4,4,0,False,player,"[""DeAndre""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019 / Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019,Game3,5,5,0,True,player,"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016,Game1,4,4,0,True,player,"[""Caitlynn""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016,Game2,4,4,0,True,player,"[""Caitlynn""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019,Game1,4,4,0,True,player,"[""James""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019,Game2,4,4,0,True,player,"[""Paul""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019 / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019,Game1,4,4,0,True,player,"[""James""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019,Game3,4,4,0,True,player,"[""Paul""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game4,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019,Game4,4,4,0,True,player,"[""James"", ""Paul""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game5,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019,Game5,4,4,0,True,player,"[""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016,Game1,4,3,1,True,player,"[""Alana""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016,Game2,4,4,0,True,player,"[""Caitlynn""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016,Game3,4,4,0,True,player,"[""Mitchell"", ""Alana""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game4,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016,Game4,4,4,0,True,player,"[""Caitlynn""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016,Game1,5,5,0,True,circle,[],False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game4,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016,Game4,5,5,0,True,player,"[""Mitchell""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019,Game2,4,4,0,True,player,"[""Caitlynn""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019,Game3,4,4,0,True,player,"[""Meghan""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019,Game1,4,4,0,True,player,"[""Paul""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019,Game3,4,4,0,True,player,"[""Justin"", ""Paul""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game4,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019,Game4,4,4,0,True,player,"[""Mike""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019,Game1,4,4,0,True,player,"[""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019,Game2,4,4,0,True,player,"[""Paul""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019,Game2,4,4,0,True,player,"[""Justin""]",True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game3,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019,Game3,4,4,0,True,player,"[""James""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game1,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016,Game1,4,4,0,True,player,"[""Caitlynn"", ""Mitchell""]",False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game2,Youtube,ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016,Game2,4,4,0,True,player,"[""Alana""]",True
